SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10226228 -0.0114099 0.00143702 -0.001572 0.002057 0.000649639135211335 0.00200482989659171 0.001572 0.002057
rs10228494 -0.00834755 0.00141017 -0.005205 0.002018 -0.00471535955178249 0.00194956123499343 0.005205 0.002018
rs10282292 0.00896219 0.0014469 0.001715 0.002071 0.000362960083058805 0.00201334029294645 -0.001715 0.002071
rs10458563 -0.00971347 0.00170587 0.003654 0.002439 -0.00684965690096582 0.00239785953521186 -0.003654 0.002439
rs1050847 0.00797046 0.00140503 0.000581 0.002018 0.0034116220690947 0.00195029452630233 -0.000581 0.002018
rs10759934 0.0081033 0.00139392 0.002003 0.001998 0.000786223361403496 0.00192970934514154 -0.002003 0.001998
rs10819050 -0.0111702 0.00140848 0.00339 0.002014 -0.00443226156520249 0.00203366107937443 -0.00339 0.002014
rs10823968 0.00813544 0.00145258 -0.002395 0.002078 0.00421003293524031 0.00199574701262055 0.002395 0.002078
rs10879871 -0.00957988 0.00145803 0.000246 0.002087 -0.00955263473075138 0.00203201558651829 -0.000246 0.002087
rs10918701 0.00802389 0.00143191 0.000899 0.002044 0.0030762502795602 0.00199823928641645 -0.000899 0.002044
rs10922907 0.0101748 0.00139495 0.002027 0.001992 0.00648992556107398 0.00193923617576155 -0.002027 0.001992
rs10945143 -0.00883899 0.00159048 -0.000984 0.002278 0.000224320488266448 0.00221029544781041 0.000984 0.002278
rs11023819 0.00849017 0.00140527 -0.00602 0.002011 0.002055842697862 0.00195131953468511 0.00602 0.002011
rs11023894 0.00758653 0.00138895 -0.001275 0.001987 0.00308085148587009 0.00192930403767763 0.001275 0.001987
rs11123962 -0.00890367 0.00139223 0.002797 0.001988 -0.00322028023056633 0.00194190204447049 -0.002797 0.001988
rs11134664 -0.00928494 0.00149314 0.003386 0.002134 -0.00247283621778652 0.00206788952918013 -0.003386 0.002134
rs11210229 0.011702 0.00142273 0.001991 0.002031 0.00474927448815654 0.00198403788051499 -0.001991 0.002031
rs112282219 -0.0231662 0.00350418 0.010096 0.005015 -0.0166141327547057 0.00483656103479568 -0.010096 0.005015
rs11255908 -0.0100713 0.00158809 -0.003572 0.002272 -5.86920473282668e-05 0.00224908414043452 0.003572 0.002272
rs113382419 -0.0282339 0.00221376 -0.003364 0.003175 0.00443521672298289 0.00312060759663749 0.003364 0.003175
rs116948922 0.0244586 0.00394568 0.00485 0.005663 0.0170560445551908 0.00554833170854138 -0.00485 0.005663
rs11768481 0.00901238 0.00147464 0.000245 0.002115 0.00124621220972287 0.00203777486362433 -0.000245 0.002115
rs11783093 0.01571 0.00189655 0.00496 0.002713 -0.00338522054810175 0.00265150936981465 -0.00496 0.002713
rs11786713 0.00796712 0.00145396 0.006884 0.002085 -0.003506225836582 0.00201427411333919 -0.006884 0.002085
rs11801576 -0.0102544 0.00161776 0.001311 0.002321 0.00262629034197248 0.00224379126505176 -0.001311 0.002321
rs11861214 0.00945079 0.00168455 -0.009283 0.002418 -0.00707945484650743 0.0022684036513902 0.009283 0.002418
rs11921010 0.00809898 0.00141715 -0.003489 0.002023 0.0127345487564724 0.00197678534239379 0.003489 0.002023
rs11948770 -0.0102364 0.00164524 -0.005172 0.002354 -0.00376070702968423 0.00228869341369589 0.005172 0.002354
rs12151765 0.0126888 0.00212356 0.003122 0.003031 0.00585615671828406 0.00295780580513559 -0.003122 0.003031
rs12202536 -0.00823391 0.00138601 -0.001712 0.001982 -0.00599386417932378 0.00193049366442899 0.001712 0.001982
rs1221148 0.00916504 0.00140711 0.003141 0.002012 0.000818980992795856 0.00195773902618138 -0.003141 0.002012
rs12244388 -0.0132503 0.00146413 0.006336 0.002098 -0.00477749585246772 0.00203343727254299 -0.006336 0.002098
rs12442096 0.00849543 0.0014248 -0.003947 0.002044 0.00321945601195066 0.001977696107003 0.003947 0.002044
rs1246265 -0.00886526 0.00150907 0.002173 0.002161 -0.00550834047470394 0.00208943263736374 -0.002173 0.002161
rs12481282 -0.00894356 0.00154935 -0.001753 0.002221 -0.00633514897189385 0.00216278419844757 0.001753 0.002221
rs12623702 -0.00977238 0.00142787 -3e-05 0.002044 -0.00667747059633099 0.001977696107003 3e-05 0.002044
rs12708665 -0.0090871 0.00153886 -0.006116 0.002199 -0.00477144651414074 0.00212748284784015 0.006116 0.002199
rs12831617 -0.00918459 0.00163314 -0.005229 0.002339 -0.00259088922728773 0.00231736177375491 0.005229 0.002339
rs12967855 0.0081887 0.00147934 0.001756 0.002124 0.00346187393694691 0.00205787045193087 -0.001756 0.002124
rs13009008 0.00863272 0.00147329 5.1e-05 0.002103 0.000778190724669095 0.00205787045193087 -5.1e-05 0.002103
rs13016665 -0.00848745 0.0014118 -0.001428 0.002019 -0.007862027174789 0.00194733530844186 0.001428 0.002019
