SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10226228 -0.0114099 0.00143702 0.000749 0.001913 0.000649639135211335 0.00200482989659171 -0.000749 0.001913
rs10228494 -0.00834755 0.00141017 0.000492 0.001876 -0.00471535955178249 0.00194956123499343 -0.000492 0.001876
rs10282292 0.00896219 0.0014469 -0.00196 0.001921 0.000362960083058805 0.00201334029294645 0.00196 0.001921
rs10458563 -0.00971347 0.00170587 0.003753 0.00227 -0.00684965690096582 0.00239785953521186 -0.003753 0.00227
rs1050847 0.00797046 0.00140503 0.002798 0.001907 0.0034116220690947 0.00195029452630233 -0.002798 0.001907
rs10759934 0.0081033 0.00139392 0.002284 0.001859 0.000786223361403496 0.00192970934514154 -0.002284 0.001859
rs10819050 -0.0111702 0.00140848 -0.008424 0.001878 -0.00443226156520249 0.00203366107937443 0.008424 0.001878
rs10823968 0.00813544 0.00145258 0.002359 0.001932 0.00421003293524031 0.00199574701262055 -0.002359 0.001932
rs10879871 -0.00957988 0.00145803 -3e-04 0.001933 -0.00955263473075138 0.00203201558651829 3e-04 0.001933
rs10918701 0.00802389 0.00143191 -0.007644 0.0019 0.0030762502795602 0.00199823928641645 0.007644 0.0019
rs10922907 0.0101748 0.00139495 0.003432 0.001852 0.00648992556107398 0.00193923617576155 -0.003432 0.001852
rs10945143 -0.00883899 0.00159048 -7e-04 0.002105 0.000224320488266448 0.00221029544781041 7e-04 0.002105
rs11023819 0.00849017 0.00140527 -0.003254 0.001867 0.002055842697862 0.00195131953468511 0.003254 0.001867
rs11023894 0.00758653 0.00138895 -0.007207 0.001849 0.00308085148587009 0.00192930403767763 0.007207 0.001849
rs11123962 -0.00890367 0.00139223 0.000387 0.001852 -0.00322028023056633 0.00194190204447049 -0.000387 0.001852
rs11134664 -0.00928494 0.00149314 -4.4e-05 0.001987 -0.00247283621778652 0.00206788952918013 4.4e-05 0.001987
rs11210229 0.011702 0.00142273 -0.000373 0.001885 0.00474927448815654 0.00198403788051499 0.000373 0.001885
rs112282219 -0.0231662 0.00350418 -0.000868 0.0047 -0.0166141327547057 0.00483656103479568 0.000868 0.0047
rs11255908 -0.0100713 0.00158809 0.001546 0.002116 -5.86920473282668e-05 0.00224908414043452 -0.001546 0.002116
rs113382419 -0.0282339 0.00221376 -0.000512 0.002979 0.00443521672298289 0.00312060759663749 0.000512 0.002979
rs116948922 0.0244586 0.00394568 -0.001098 0.005361 0.0170560445551908 0.00554833170854138 0.001098 0.005361
rs11768481 0.00901238 0.00147464 -0.001338 0.001964 0.00124621220972287 0.00203777486362433 0.001338 0.001964
rs11783093 0.01571 0.00189655 0.002045 0.002521 -0.00338522054810175 0.00265150936981465 -0.002045 0.002521
rs11786713 0.00796712 0.00145396 0.002894 0.001933 -0.003506225836582 0.00201427411333919 -0.002894 0.001933
rs11801576 -0.0102544 0.00161776 -0.001697 0.002174 0.00262629034197248 0.00224379126505176 0.001697 0.002174
rs11861214 0.00945079 0.00168455 -0.007284 0.002376 -0.00707945484650743 0.0022684036513902 0.007284 0.002376
rs11921010 0.00809898 0.00141715 -0.002932 0.001884 0.0127345487564724 0.00197678534239379 0.002932 0.001884
rs11948770 -0.0102364 0.00164524 -0.001338 0.002211 -0.00376070702968423 0.00228869341369589 0.001338 0.002211
rs12151765 0.0126888 0.00212356 0.00654 0.002817 0.00585615671828406 0.00295780580513559 -0.00654 0.002817
rs12202536 -0.00823391 0.00138601 -0.002944 0.001833 -0.00599386417932378 0.00193049366442899 0.002944 0.001833
rs1221148 0.00916504 0.00140711 2.1e-05 0.001872 0.000818980992795856 0.00195773902618138 -2.1e-05 0.001872
rs12244388 -0.0132503 0.00146413 0.014399 0.001941 -0.00477749585246772 0.00203343727254299 -0.014399 0.001941
rs12442096 0.00849543 0.0014248 0.00061 0.001892 0.00321945601195066 0.001977696107003 -0.00061 0.001892
rs1246265 -0.00886526 0.00150907 0.001574 0.002004 -0.00550834047470394 0.00208943263736374 -0.001574 0.002004
rs12481282 -0.00894356 0.00154935 0.007083 0.002069 -0.00633514897189385 0.00216278419844757 -0.007083 0.002069
rs12623702 -0.00977238 0.00142787 0.007062 0.001902 -0.00667747059633099 0.001977696107003 -0.007062 0.001902
rs12708665 -0.0090871 0.00153886 -0.000933 0.002035 -0.00477144651414074 0.00212748284784015 0.000933 0.002035
rs12831617 -0.00918459 0.00163314 -0.003006 0.002177 -0.00259088922728773 0.00231736177375491 0.003006 0.002177
rs12967855 0.0081887 0.00147934 -0.001457 0.001972 0.00346187393694691 0.00205787045193087 0.001457 0.001972
rs13009008 0.00863272 0.00147329 -0.003185 0.001957 0.000778190724669095 0.00205787045193087 0.003185 0.001957
