SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 0.001992 0.00193 -0.006 0.0018 0.001992 0.00193
rs1004787 0.0299231195831601 0.00357139850186026 0.000137 0.001896 2e-04 0.0019 0.000137 0.001896
rs10159545 0.0262501152217945 0.0037272658976418 0.00363 0.001986 0.0176 0.002 -0.00363 0.001986
rs10233018 0.0270690382961853 0.00355740691271967 0.002674 0.001879 0.0029 0.0019 -0.002674 0.001879
rs10279261 -0.0214193598061592 0.00366263324610703 0.001174 0.001939 -0.0021 0.0017 0.001174 0.001939
rs1029984 0.0208269529381039 0.00358234481029148 -0.004566 0.001912 0.0051 0.0019 -0.004566 0.001912
rs10490159 0.0216491746167544 0.00363351675217803 -0.000536 0.001923 9e-04 0.0017 -0.000536 0.001923
rs10498846 0.0206102939104822 0.0035556134988868 0.001788 0.00188 -6e-04 0.0017 0.001788 0.00188
rs1050847 -0.0216231194546871 0.00358893039059423 -0.008257 0.001951 0.0016 0.0017 -0.008257 0.001951
rs10905461 -0.0239553893082787 0.00414505215800124 0.005048 0.002152 0.001 0.0019 -0.005048 0.002152
rs10945141 0.0222362623959129 0.00405301809262339 0.001847 0.002135 -0.0043 0.0019 0.001847 0.002135
rs10956809 -0.0207810646080611 0.00357975119008573 -0.002279 0.001902 -0.0035 0.0019 -0.002279 0.001902
rs11012840 -0.0229683403087224 0.00381746732931954 -0.001846 0.002031 -0.0163 0.002 -0.001846 0.002031
rs11057005 -0.0209297802537554 0.00357891690904206 0.00047 0.001908 -0.0032 0.0017 -0.00047 0.001908
rs11078713 -0.0201720919993512 0.00360561018144231 -0.007089 0.001912 0.0083 0.0017 0.007089 0.001912
rs11135030 0.0226893782007283 0.00386850687475036 -0.001099 0.002034 0.002 0.0018 -0.001099 0.002034
rs1154693 0.0326216682994671 0.00491232251908705 -0.000267 0.002668 0.0085 0.0027 0.000267 0.002668
rs11594623 0.0270090747742326 0.0041626381416524 -0.000608 0.00219 0.0056 0.0022 0.000608 0.00219
rs1160685 0.020772436428493 0.00358893039059423 0.000533 0.001894 6e-04 0.0017 -0.000533 0.001894
rs11658881 0.0201357214327675 0.00361066336779864 0.001526 0.001906 -0.004 0.0017 -0.001526 0.001906
rs11678980 0.0203418465799605 0.00356819593409352 -0.002713 0.001955 0.0084 0.002 -0.002713 0.001955
rs11712680 -0.0270476240432524 0.00457842819835389 -0.001567 0.002422 -0.0072 0.0022 0.001567 0.002422
rs117143374 0.0292896903222678 0.00526908907209351 0.000777 0.002724 -0.0146 0.0028 -0.000777 0.002724
rs11716779 0.0219898669573908 0.00402823195017628 -0.003719 0.002186 0.0123 0.0019 0.003719 0.002186
rs11721059 0.0199356867182187 0.00356335451016015 0.003921 0.001901 0.003 0.0017 0.003921 0.001901
rs11768481 -0.0232016673678623 0.00376380745301786 0.002229 0.002004 -0.0062 0.002 0.002229 0.002004
rs117695734 -0.0551772756302046 0.00881286708017 0.000272 0.005167 -0.0028 0.0053 -0.000272 0.005167
rs11872397 -0.0247725406457757 0.00409477465918092 -0.002239 0.002179 0.0026 0.0022 -0.002239 0.002179
rs11873164 -0.0281424962795397 0.0049517801685124 -0.004563 0.002572 -0.0023 0.0026 -0.004563 0.002572
rs12027999 -0.0330855002964445 0.00533914965204459 -0.005994 0.002843 0.0023 0.0029 0.005994 0.002843
rs12042107 -0.0222833764663073 0.00356819593409352 -0.002875 0.001885 -0.0107 0.0019 0.002875 0.001885
rs12112638 -0.0245259680994854 0.00404298611398216 0.004321 0.002131 0.0135 0.0021 -0.004321 0.002131
rs12186738 -0.0332644351638424 0.00502051065741958 0.002528 0.002677 -0.0085 0.0027 0.002528 0.002677
rs12333760 -0.0290466837454973 0.0048012687206787 0.003461 0.002541 -0.0175 0.0024 -0.003461 0.002541
rs12356821 0.0393700355945343 0.00504910053010178 -0.019735 0.002678 0.0101 0.0024 -0.019735 0.002678
rs12441907 -0.0292050638015571 0.00452262034266214 -0.001194 0.002404 -0.0049 0.0022 -0.001194 0.002404
rs12474587 0.0276328620164367 0.00358234481029148 -0.001395 0.0019 -0.0033 0.0017 -0.001395 0.0019
rs12545053 0.0202807978238853 0.00363667793165178 -0.003053 0.001923 -0.0036 0.0017 0.003053 0.001923
rs12632110 -0.0233768243046966 0.00375292296589672 -0.002163 0.002108 -0.0172 0.0018 0.002163 0.002108
rs12662631 0.0209986399155672 0.00383380958622819 0.001682 0.002033 0.0056 0.0018 0.001682 0.002033
rs12923427 -0.0239086627298819 0.00437239804530611 -0.001071 0.002282 -0.0065 0.002 -0.001071 0.002282
rs13030994 0.036092466377408 0.00355629638428205 0.00346 0.001882 0.0013 0.0019 0.00346 0.001882
rs13136052 -0.0198097007760779 0.00358697207728253 -0.00213 0.001928 6e-04 0.0019 -0.00213 0.001928
rs13261666 -0.0268945748386775 0.00355604025615263 0.003511 0.001878 -0.0053 0.0017 0.003511 0.001878
rs1343432 0.0234447333974563 0.00417724570940657 0.005301 0.002174 0.0153 0.0022 0.005301 0.002174
rs134529 -0.0199839528321729 0.00366077691353738 -0.010438 0.001941 -0.0047 0.0017 0.010438 0.001941
rs1355334 0.0244176044443055 0.00377221156810223 -0.00386 0.002007 0.0136 0.0018 -0.00386 0.002007
rs1385108 0.0246616993390394 0.00415672857562255 -9.3e-05 0.002197 -5e-04 0.0022 -9.3e-05 0.002197
rs1435741 0.0294151238128526 0.00359095051725429 0.00461 0.0019 -0.0067 0.0017 0.00461 0.0019
rs1445649 0.0239932341418356 0.00356483711793006 0.001558 0.001888 0.0053 0.0017 -0.001558 0.001888
rs1518393 0.0205357436417922 0.00365893889953371 -0.004528 0.001944 -0.0029 0.002 0.004528 0.001944
rs1555445 0.0225547968430225 0.00382339614270885 0.037252 0.002063 0.0035 0.0018 -0.037252 0.002063
rs1565735 -0.0376180342371462 0.00446129865085708 -0.004885 0.00236 0.0013 0.0021 -0.004885 0.00236
rs17234745 -0.0285620257898205 0.00504910053010178 -0.005884 0.002651 -0.0055 0.0024 0.005884 0.002651
rs17534089 -0.0322634074908758 0.00518626556041132 -0.00132 0.002745 -0.006 0.0025 0.00132 0.002745
rs1899896 0.0264481246881374 0.00388690913511059 -0.001619 0.002058 0.0094 0.0019 -0.001619 0.002058
rs1971318 0.0285074215505192 0.00492533227444622 0.026177 0.002595 0.0089 0.0026 0.026177 0.002595
rs2046850 -0.0248138529358474 0.00447842201706439 -0.006372 0.00238 0.0022 0.002 -0.006372 0.00238
rs2050586 -0.0205466601064923 0.00370827598744739 0.003812 0.001961 -0.0044 0.002 0.003812 0.001961
rs2107300 -0.0272010365504313 0.00492533227444622 -0.007294 0.00261 -0.0025 0.0023 0.007294 0.00261
rs2186122 0.0260572863256767 0.00358601600776158 -0.001772 0.001899 0.0124 0.0017 0.001772 0.001899
rs222449 -0.0253208232805482 0.00442796261888848 -0.002489 0.002356 -0.006 0.0021 0.002489 0.002356
rs2276825 0.0232182222507148 0.00415672857562255 0.015468 0.00225 0.0153 0.002 -0.015468 0.00225
rs2344508 -0.0219720098837396 0.00358323971714277 -0.002799 0.001889 -0.0193 0.0016 -0.002799 0.001889
rs2378662 0.0209481549927184 0.0035664507489796 0.000794 0.001898 0.0065 0.0017 0.000794 0.001898
rs240963 -0.0410443522424762 0.0048371233000107 -0.00264 0.00257 -0.0115 0.0026 0.00264 0.00257
rs2631024 -0.0229644553809509 0.00402823195017628 -0.003851 0.002149 -0.0052 0.0022 0.003851 0.002149
rs266047 -0.0305098439360886 0.0037385472299354 0.003526 0.001885 -0.0102 0.0019 0.003526 0.001885
rs27003 0.0242168129229232 0.00383380958622819 -0.002059 0.002048 0.0045 0.0018 0.002059 0.002048
rs28372104 0.0237124469252186 0.00389830226103797 0.008337 0.002069 -3e-04 0.0021 -0.008337 0.002069
rs292071 0.0235821988549303 0.00400909407996469 0.000708 0.002118 0.0074 0.0019 -0.000708 0.002118
rs3001723 0.0335117979569998 0.00389830226103797 0.004311 0.002046 0.001 0.0018 0.004311 0.002046
rs301805 0.021467915176492 0.00361328749427589 0.001884 0.001903 0.0079 0.0018 -0.001884 0.001903
rs35702515 0.0252441728437111 0.00423093298129663 -0.000337 0.002276 0.0011 0.0023 -0.000337 0.002276
rs3800227 0.0228121191646138 0.00405809388433384 0.000188 0.002153 0.0149 0.0019 -0.000188 0.002153
rs3904512 -0.0211588854183522 0.0035765044073267 0.001414 0.001897 0.0029 0.0017 0.001414 0.001897
rs4044321 -0.0278416954894971 0.00371057728611977 -0.002212 0.001964 -0.0031 0.0019 0.002212 0.001964
rs4236259 -0.0247689190675964 0.00355660950494466 0.002589 0.001993 0.001 0.0019 -0.002589 0.001993
rs4275621 -0.0217330128147681 0.0036683129404749 -0.006305 0.00194 -0.0079 0.0019 0.006305 0.00194
rs4523689 -0.0206091006590057 0.00364320870753476 -0.002646 0.001922 0.0025 0.0019 0.002646 0.001922
rs4543592 0.0219314324929169 0.00356243865360826 -0.001515 0.001892 -0.003 0.0017 0.001515 0.001892
rs4549681 -0.0236966327871474 0.00373743468785647 -0.000252 0.001883 0.0036 0.0019 0.000252 0.001883
rs4571506 -0.0275746638599439 0.00356880699487212 -0.002117 0.001888 -0.0068 0.0019 -0.002117 0.001888
rs4674993 -0.0252122101883179 0.00443618509086005 0.000469 0.002355 -0.0016 0.0021 -0.000469 0.002355
rs4759228 -0.0216913082292544 0.00393413223853498 -0.000162 0.002081 -0.015 0.0019 -0.000162 0.002081
rs4785836 -0.020470446994321 0.00365893889953371 0.001952 0.001942 -0.002 0.002 -0.001952 0.001942
rs56820925 -0.0218638186698424 0.00387714869146327 -0.000682 0.001956 0.0088 0.002 -0.000682 0.001956
rs585282 0.0208986579175872 0.00370599506984915 -0.004146 0.00197 -0.0095 0.0018 -0.004146 0.00197
rs6050446 0.0583074883490012 0.0103074051013836 0.002051 0.005424 0.0346 0.0047 -0.002051 0.005424
rs61774463 -0.0235753524586583 0.00418065793154199 -0.0011 0.002215 -0.0052 0.0022 -0.0011 0.002215
rs62098013 0.0203386976796227 0.00369489266314749 -0.001051 0.001981 9e-04 0.002 -0.001051 0.001981
rs62262675 0.0263085437352356 0.00473279364762131 -0.004997 0.002544 0.0162 0.0025 0.004997 0.002544
rs6265 -0.031786296257863 0.00457842819835389 0.00086 0.002403 -0.0413 0.0021 0.00086 0.002403
rs6433897 0.0224482661870905 0.00405809388433384 0.001913 0.002141 0.0042 0.0019 -0.001913 0.002141
rs6508144 -0.0206935185481786 0.00358601600776158 -0.003851 0.00191 -0.0016 0.0017 0.003851 0.00191
rs6669839 0.0260041224560857 0.00439549894684844 0.005452 0.002321 0.0129 0.0021 0.005452 0.002321
rs6728726 0.0354485928265864 0.0047327936476213 0.002379 0.002486 0.0577 0.0022 -0.002379 0.002486
rs6788098 -0.0313460520986129 0.00368904754309202 0.000323 0.001938 -0.0139 0.0017 -0.000323 0.001938
rs6893752 -0.0240995341718086 0.00407356476845586 -0.001542 0.002149 0.0028 0.002 0.001542 0.002149
rs6948707 0.0224655592873339 0.00360198943206491 -0.002895 0.001999 0.0075 0.0019 0.002895 0.001999
rs7024924 0.0257703252557679 0.00468939081524967 -0.00211 0.002462 0.0033 0.0022 0.00211 0.002462
rs7197072 -0.0247672136264165 0.00416859590363882 -0.008699 0.002368 -0.0055 0.0023 -0.008699 0.002368
rs7224742 -0.0207098819916641 0.00365531751994394 0.005222 0.001945 0.0019 0.002 0.005222 0.001945
rs73138150 -0.0234393737491622 0.00381746732931954 -0.002851 0.002029 -0.0157 0.002 0.002851 0.002029
rs7322872 -0.0255712841733052 0.00433473863465867 -0.000295 0.002327 -0.0096 0.0023 -0.000295 0.002327
rs7555507 -0.0241444396950049 0.00355604025615263 0.001393 0.001882 0.0011 0.0019 0.001393 0.001882
rs7585579 0.022399646203376 0.00372810004129534 -0.00057 0.001896 8e-04 0.0017 0.00057 0.001896
rs76214862 -0.0249903162581497 0.00454745364554227 0.001152 0.002409 -0.0062 0.0024 -0.001152 0.002409
rs76608582 -0.0495574666847922 0.00825957778079869 -0.009556 0.00492 -0.0186 0.0048 -0.009556 0.00492
rs7901883 -0.0245289237463764 0.00425066008000902 -0.000163 0.002252 0.0022 0.002 -0.000163 0.002252
rs7921378 -0.0254600844384457 0.00355815496982807 -0.001918 0.001887 0.0037 0.0017 -0.001918 0.001887
rs7929518 0.0242376885051666 0.00428465847557264 0.004835 0.002257 8e-04 0.002 -0.004835 0.002257
rs7938812 0.0437914012665916 0.00363667793165178 0.001075 0.001927 -0.0078 0.0017 -0.001075 0.001927
rs7969559 -0.0243756057706745 0.00395945865508843 -0.000896 0.002094 -0.0131 0.0019 0.000896 0.002094
rs8039513 0.0263852744231818 0.00453170641373137 0.002162 0.002415 0.0065 0.0021 -0.002162 0.002415
rs846799 -0.0209451573233042 0.00355564905612407 -0.005361 0.001887 -0.0106 0.0019 0.005361 0.001887
rs9401770 0.0277306573995193 0.00398600174528558 -0.001044 0.002113 -0.0074 0.0022 -0.001044 0.002113
rs9423279 -0.0205131691957097 0.00370827598744739 0.000786 0.002029 0.0029 0.002 -0.000786 0.002029
rs9540729 -0.0195522233104744 0.00355789131490793 -0.001032 0.001882 -0.0073 0.0017 0.001032 0.001882
rs993700 -0.0259279909689629 0.00429163160110854 0.000586 0.002257 -0.0114 0.002 -0.000586 0.002257
