SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 -0.001025 0.001883 -0.006 0.0018 -0.001025 0.001883
rs1004787 0.0299231195831601 0.00357139850186026 -0.001728 0.001857 2e-04 0.0019 -0.001728 0.001857
rs10159545 0.0262501152217945 0.0037272658976418 -0.000242 0.001937 0.0176 0.002 0.000242 0.001937
rs10233018 0.0270690382961853 0.00355740691271967 -0.000469 0.001841 0.0029 0.0019 0.000469 0.001841
rs10279261 -0.0214193598061592 0.00366263324610703 0.000132 0.001901 -0.0021 0.0017 0.000132 0.001901
rs1029984 0.0208269529381039 0.00358234481029148 0.002758 0.001871 0.0051 0.0019 0.002758 0.001871
rs10490159 0.0216491746167544 0.00363351675217803 -0.00097 0.001882 9e-04 0.0017 -0.00097 0.001882
rs10498846 0.0206102939104822 0.0035556134988868 0.003697 0.001839 -6e-04 0.0017 0.003697 0.001839
rs1050847 -0.0216231194546871 0.00358893039059423 -0.002798 0.001907 0.0016 0.0017 -0.002798 0.001907
rs10905461 -0.0239553893082787 0.00414505215800124 0.001763 0.002107 0.001 0.0019 -0.001763 0.002107
rs10945141 0.0222362623959129 0.00405301809262339 0.001425 0.002087 -0.0043 0.0019 0.001425 0.002087
rs10956809 -0.0207810646080611 0.00357975119008573 -0.006012 0.001864 -0.0035 0.0019 -0.006012 0.001864
rs11012840 -0.0229683403087224 0.00381746732931954 0.001204 0.00198 -0.0163 0.002 0.001204 0.00198
rs11057005 -0.0209297802537554 0.00357891690904206 0.00129 0.00187 -0.0032 0.0017 -0.00129 0.00187
rs11078713 -0.0201720919993512 0.00360561018144231 0.017747 0.001876 0.0083 0.0017 -0.017747 0.001876
rs11135030 0.0226893782007283 0.00386850687475036 -0.001993 0.001991 0.002 0.0018 -0.001993 0.001991
rs1154693 0.0326216682994671 0.00491232251908705 -0.004374 0.00261 0.0085 0.0027 0.004374 0.00261
rs11594623 0.0270090747742326 0.0041626381416524 -0.005399 0.002144 0.0056 0.0022 0.005399 0.002144
rs1160685 0.020772436428493 0.00358893039059423 -0.002112 0.001854 6e-04 0.0017 0.002112 0.001854
rs11658881 0.0201357214327675 0.00361066336779864 -0.000332 0.001871 -0.004 0.0017 0.000332 0.001871
rs11678980 0.0203418465799605 0.00356819593409352 -0.003099 0.001916 0.0084 0.002 -0.003099 0.001916
rs11712680 -0.0270476240432524 0.00457842819835389 0.001381 0.002377 -0.0072 0.0022 -0.001381 0.002377
rs117143374 0.0292896903222678 0.00526908907209351 -0.005843 0.002669 -0.0146 0.0028 0.005843 0.002669
rs11716779 0.0219898669573908 0.00402823195017628 -0.002884 0.002145 0.0123 0.0019 0.002884 0.002145
rs11721059 0.0199356867182187 0.00356335451016015 -0.001436 0.001861 0.003 0.0017 -0.001436 0.001861
rs11768481 -0.0232016673678623 0.00376380745301786 0.001338 0.001964 -0.0062 0.002 0.001338 0.001964
rs117695734 -0.0551772756302046 0.00881286708017 0.008571 0.005062 -0.0028 0.0053 -0.008571 0.005062
rs11872397 -0.0247725406457757 0.00409477465918092 0.008557 0.002135 0.0026 0.0022 0.008557 0.002135
rs11873164 -0.0281424962795397 0.0049517801685124 -0.000701 0.002524 -0.0023 0.0026 -0.000701 0.002524
rs12027999 -0.0330855002964445 0.00533914965204459 0.003967 0.002799 0.0023 0.0029 -0.003967 0.002799
rs12042107 -0.0222833764663073 0.00356819593409352 -0.003346 0.001852 -0.0107 0.0019 0.003346 0.001852
rs12112638 -0.0245259680994854 0.00404298611398216 0.006175 0.002084 0.0135 0.0021 -0.006175 0.002084
rs12186738 -0.0332644351638424 0.00502051065741958 0.000948 0.002626 -0.0085 0.0027 0.000948 0.002626
rs12333760 -0.0290466837454973 0.0048012687206787 -0.008441 0.002488 -0.0175 0.0024 0.008441 0.002488
rs12356821 0.0393700355945343 0.00504910053010178 -0.014128 0.002618 0.0101 0.0024 -0.014128 0.002618
rs12441907 -0.0292050638015571 0.00452262034266214 -0.002773 0.002355 -0.0049 0.0022 -0.002773 0.002355
rs12474587 0.0276328620164367 0.00358234481029148 -0.005229 0.001864 -0.0033 0.0017 -0.005229 0.001864
rs12545053 0.0202807978238853 0.00363667793165178 -0.000917 0.001887 -0.0036 0.0017 0.000917 0.001887
rs12632110 -0.0233768243046966 0.00375292296589672 -0.004021 0.00206 -0.0172 0.0018 0.004021 0.00206
rs12662631 0.0209986399155672 0.00383380958622819 0.000795 0.001994 0.0056 0.0018 0.000795 0.001994
rs12923427 -0.0239086627298819 0.00437239804530611 0.000792 0.002243 -0.0065 0.002 0.000792 0.002243
rs13030994 0.036092466377408 0.00355629638428205 -0.008486 0.001844 0.0013 0.0019 -0.008486 0.001844
rs13136052 -0.0198097007760779 0.00358697207728253 0.000535 0.00189 6e-04 0.0019 0.000535 0.00189
rs13261666 -0.0268945748386775 0.00355604025615263 0.000427 0.001839 -0.0053 0.0017 0.000427 0.001839
rs1343432 0.0234447333974563 0.00417724570940657 -0.003008 0.002137 0.0153 0.0022 -0.003008 0.002137
rs134529 -0.0199839528321729 0.00366077691353738 0.014007 0.001904 -0.0047 0.0017 -0.014007 0.001904
rs1355334 0.0244176044443055 0.00377221156810223 -0.000743 0.001959 0.0136 0.0018 -0.000743 0.001959
rs1385108 0.0246616993390394 0.00415672857562255 -0.002186 0.002151 -5e-04 0.0022 -0.002186 0.002151
rs1435741 0.0294151238128526 0.00359095051725429 0.000126 0.001859 -0.0067 0.0017 0.000126 0.001859
rs1445649 0.0239932341418356 0.00356483711793006 -0.000331 0.001849 0.0053 0.0017 0.000331 0.001849
rs1518393 0.0205357436417922 0.00365893889953371 -0.000936 0.001906 -0.0029 0.002 0.000936 0.001906
rs1555445 0.0225547968430225 0.00382339614270885 0.003142 0.002018 0.0035 0.0018 -0.003142 0.002018
rs1565735 -0.0376180342371462 0.00446129865085708 -0.002061 0.00231 0.0013 0.0021 -0.002061 0.00231
rs17234745 -0.0285620257898205 0.00504910053010178 -0.005464 0.002584 -0.0055 0.0024 0.005464 0.002584
rs17534089 -0.0322634074908758 0.00518626556041132 0.000902 0.002695 -0.006 0.0025 -0.000902 0.002695
rs1899896 0.0264481246881374 0.00388690913511059 -0.000203 0.002018 0.0094 0.0019 -0.000203 0.002018
rs1971318 0.0285074215505192 0.00492533227444622 -0.007196 0.002548 0.0089 0.0026 -0.007196 0.002548
rs2046850 -0.0248138529358474 0.00447842201706439 -0.001923 0.00233 0.0022 0.002 -0.001923 0.00233
rs2050586 -0.0205466601064923 0.00370827598744739 -0.001705 0.00192 -0.0044 0.002 -0.001705 0.00192
rs2107300 -0.0272010365504313 0.00492533227444622 0.001173 0.002557 -0.0025 0.0023 -0.001173 0.002557
rs2186122 0.0260572863256767 0.00358601600776158 0.000564 0.001858 0.0124 0.0017 -0.000564 0.001858
rs222449 -0.0253208232805482 0.00442796261888848 0.004277 0.002303 -0.006 0.0021 -0.004277 0.002303
rs2276825 0.0232182222507148 0.00415672857562255 -0.010319 0.002194 0.0153 0.002 0.010319 0.002194
rs2344508 -0.0219720098837396 0.00358323971714277 0.00145 0.001854 -0.0193 0.0016 0.00145 0.001854
rs2378662 0.0209481549927184 0.0035664507489796 -0.002477 0.001859 0.0065 0.0017 -0.002477 0.001859
rs240963 -0.0410443522424762 0.0048371233000107 0.007996 0.002512 -0.0115 0.0026 -0.007996 0.002512
rs2631024 -0.0229644553809509 0.00402823195017628 -0.009666 0.002105 -0.0052 0.0022 0.009666 0.002105
rs266047 -0.0305098439360886 0.0037385472299354 0.000509 0.001843 -0.0102 0.0019 0.000509 0.001843
rs27003 0.0242168129229232 0.00383380958622819 0.003109 0.002008 0.0045 0.0018 -0.003109 0.002008
rs28372104 0.0237124469252186 0.00389830226103797 -0.014564 0.002026 -3e-04 0.0021 0.014564 0.002026
rs292071 0.0235821988549303 0.00400909407996469 0.001839 0.002077 0.0074 0.0019 -0.001839 0.002077
rs3001723 0.0335117979569998 0.00389830226103797 -0.005726 0.002006 0.001 0.0018 -0.005726 0.002006
rs301805 0.021467915176492 0.00361328749427589 0.003175 0.001887 0.0079 0.0018 -0.003175 0.001887
rs35702515 0.0252441728437111 0.00423093298129663 0.001748 0.002231 0.0011 0.0023 0.001748 0.002231
rs3800227 0.0228121191646138 0.00405809388433384 -0.001134 0.002104 0.0149 0.0019 0.001134 0.002104
rs3904512 -0.0211588854183522 0.0035765044073267 0.001617 0.001865 0.0029 0.0017 0.001617 0.001865
rs4044321 -0.0278416954894971 0.00371057728611977 0.002527 0.001932 -0.0031 0.0019 -0.002527 0.001932
rs4236259 -0.0247689190675964 0.00355660950494466 0.002801 0.001945 0.001 0.0019 -0.002801 0.001945
rs4275621 -0.0217330128147681 0.0036683129404749 0.00289 0.001897 -0.0079 0.0019 -0.00289 0.001897
rs4523689 -0.0206091006590057 0.00364320870753476 -0.002924 0.001911 0.0025 0.0019 0.002924 0.001911
rs4543592 0.0219314324929169 0.00356243865360826 0.000447 0.001855 -0.003 0.0017 -0.000447 0.001855
rs4549681 -0.0236966327871474 0.00373743468785647 0.002234 0.001844 0.0036 0.0019 -0.002234 0.001844
rs4571506 -0.0275746638599439 0.00356880699487212 -0.001735 0.00185 -0.0068 0.0019 -0.001735 0.00185
rs4674993 -0.0252122101883179 0.00443618509086005 -0.001303 0.002307 -0.0016 0.0021 0.001303 0.002307
rs4759228 -0.0216913082292544 0.00393413223853498 -0.003273 0.002036 -0.015 0.0019 -0.003273 0.002036
rs4785836 -0.020470446994321 0.00365893889953371 -0.002532 0.0019 -0.002 0.002 0.002532 0.0019
rs56820925 -0.0218638186698424 0.00387714869146327 -0.001838 0.001916 0.0088 0.002 -0.001838 0.001916
rs585282 0.0208986579175872 0.00370599506984915 -0.005155 0.001928 -0.0095 0.0018 -0.005155 0.001928
rs6050446 0.0583074883490012 0.0103074051013836 -0.000724 0.005332 0.0346 0.0047 0.000724 0.005332
rs61774463 -0.0235753524586583 0.00418065793154199 0.005415 0.002174 -0.0052 0.0022 0.005415 0.002174
rs62098013 0.0203386976796227 0.00369489266314749 -0.005156 0.001941 9e-04 0.002 -0.005156 0.001941
rs62262675 0.0263085437352356 0.00473279364762131 0.004009 0.002492 0.0162 0.0025 -0.004009 0.002492
rs6265 -0.031786296257863 0.00457842819835389 0.013734 0.002353 -0.0413 0.0021 0.013734 0.002353
rs6433897 0.0224482661870905 0.00405809388433384 0.009759 0.002096 0.0042 0.0019 -0.009759 0.002096
rs6508144 -0.0206935185481786 0.00358601600776158 -0.001161 0.001871 -0.0016 0.0017 0.001161 0.001871
rs6669839 0.0260041224560857 0.00439549894684844 -0.004079 0.002273 0.0129 0.0021 -0.004079 0.002273
rs6728726 0.0354485928265864 0.0047327936476213 -0.006578 0.002457 0.0577 0.0022 0.006578 0.002457
rs6788098 -0.0313460520986129 0.00368904754309202 0.003955 0.001901 -0.0139 0.0017 -0.003955 0.001901
rs6893752 -0.0240995341718086 0.00407356476845586 0.007596 0.002105 0.0028 0.002 -0.007596 0.002105
rs6948707 0.0224655592873339 0.00360198943206491 0.003305 0.001954 0.0075 0.0019 -0.003305 0.001954
rs7024924 0.0257703252557679 0.00468939081524967 0.003325 0.002412 0.0033 0.0022 -0.003325 0.002412
rs7197072 -0.0247672136264165 0.00416859590363882 0.006789 0.002335 -0.0055 0.0023 0.006789 0.002335
rs7224742 -0.0207098819916641 0.00365531751994394 -0.000485 0.001909 0.0019 0.002 -0.000485 0.001909
rs73138150 -0.0234393737491622 0.00381746732931954 0.00051 0.001992 -0.0157 0.002 -0.00051 0.001992
rs7322872 -0.0255712841733052 0.00433473863465867 0.004154 0.00228 -0.0096 0.0023 0.004154 0.00228
rs7555507 -0.0241444396950049 0.00355604025615263 0.000657 0.001846 0.0011 0.0019 0.000657 0.001846
