SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 0.001318 0.002104 -0.006 0.0018 0.001318 0.002104
rs1004787 0.0299231195831601 0.00357139850186026 -0.00385 0.002065 2e-04 0.0019 -0.00385 0.002065
rs10159545 0.0262501152217945 0.0037272658976418 -0.000452 0.00216 0.0176 0.002 0.000452 0.00216
rs10233018 0.0270690382961853 0.00355740691271967 -0.002789 0.002048 0.0029 0.0019 0.002789 0.002048
rs10279261 -0.0214193598061592 0.00366263324610703 0.001674 0.002113 -0.0021 0.0017 0.001674 0.002113
rs1029984 0.0208269529381039 0.00358234481029148 0.002283 0.002088 0.0051 0.0019 0.002283 0.002088
rs10490159 0.0216491746167544 0.00363351675217803 0.001811 0.002095 9e-04 0.0017 0.001811 0.002095
rs10498846 0.0206102939104822 0.0035556134988868 0.000187 0.002054 -6e-04 0.0017 0.000187 0.002054
rs1050847 -0.0216231194546871 0.00358893039059423 -0.000388 0.002085 0.0016 0.0017 -0.000388 0.002085
rs10905461 -0.0239553893082787 0.00414505215800124 -0.002793 0.002344 0.001 0.0019 0.002793 0.002344
rs10945141 0.0222362623959129 0.00405301809262339 -0.001185 0.002333 -0.0043 0.0019 -0.001185 0.002333
rs10956809 -0.0207810646080611 0.00357975119008573 0.001193 0.002069 -0.0035 0.0019 0.001193 0.002069
rs11012840 -0.0229683403087224 0.00381746732931954 0.002203 0.002214 -0.0163 0.002 0.002203 0.002214
rs11057005 -0.0209297802537554 0.00357891690904206 0.000524 0.00208 -0.0032 0.0017 -0.000524 0.00208
rs11078713 -0.0201720919993512 0.00360561018144231 0.004273 0.002083 0.0083 0.0017 -0.004273 0.002083
rs11135030 0.0226893782007283 0.00386850687475036 -0.000483 0.002223 0.002 0.0018 -0.000483 0.002223
rs1154693 0.0326216682994671 0.00491232251908705 0.002384 0.002897 0.0085 0.0027 -0.002384 0.002897
rs11594623 0.0270090747742326 0.0041626381416524 0.004963 0.002374 0.0056 0.0022 -0.004963 0.002374
rs1160685 0.020772436428493 0.00358893039059423 0.001902 0.002063 6e-04 0.0017 -0.001902 0.002063
