SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10226228 -0.0114099 0.00143702 0.001962 0.001987 0.000649639135211335 0.00200482989659171 -0.001962 0.001987
rs10228494 -0.00834755 0.00141017 0.001255 0.00195 -0.00471535955178249 0.00194956123499343 -0.001255 0.00195
rs10282292 0.00896219 0.0014469 -0.003338 0.001997 0.000362960083058805 0.00201334029294645 0.003338 0.001997
rs10458563 -0.00971347 0.00170587 0.000327 0.002345 -0.00684965690096582 0.00239785953521186 -0.000327 0.002345
rs1050847 0.00797046 0.00140503 -0.005226 0.001962 0.0034116220690947 0.00195029452630233 0.005226 0.001962
rs10759934 0.0081033 0.00139392 -0.000636 0.001935 0.000786223361403496 0.00192970934514154 0.000636 0.001935
rs10819050 -0.0111702 0.00140848 0.008566 0.00195 -0.00443226156520249 0.00203366107937443 -0.008566 0.00195
rs10823968 0.00813544 0.00145258 -0.001303 0.002009 0.00421003293524031 0.00199574701262055 0.001303 0.002009
rs10879871 -0.00957988 0.00145803 0.00242 0.001986 -0.00955263473075138 0.00203201558651829 -0.00242 0.001986
rs10918701 0.00802389 0.00143191 -0.001624 0.001965 0.0030762502795602 0.00199823928641645 0.001624 0.001965
rs10922907 0.0101748 0.00139495 -0.000784 0.001914 0.00648992556107398 0.00193923617576155 0.000784 0.001914
rs10945143 -0.00883899 0.00159048 0.000284 0.002208 0.000224320488266448 0.00221029544781041 -0.000284 0.002208
rs11023819 0.00849017 0.00140527 0.002342 0.001941 0.002055842697862 0.00195131953468511 -0.002342 0.001941
rs11023894 0.00758653 0.00138895 -0.00409 0.00192 0.00308085148587009 0.00192930403767763 0.00409 0.00192
rs11123962 -0.00890367 0.00139223 -0.000122 0.001927 -0.00322028023056633 0.00194190204447049 0.000122 0.001927
rs11134664 -0.00928494 0.00149314 0.00244 0.002063 -0.00247283621778652 0.00206788952918013 -0.00244 0.002063
rs11210229 0.011702 0.00142273 -0.000102 0.001953 0.00474927448815654 0.00198403788051499 0.000102 0.001953
rs112282219 -0.0231662 0.00350418 0.005765 0.004839 -0.0166141327547057 0.00483656103479568 -0.005765 0.004839
rs11255908 -0.0100713 0.00158809 0.001926 0.002202 -5.86920473282668e-05 0.00224908414043452 -0.001926 0.002202
rs113382419 -0.0282339 0.00221376 -0.005082 0.003073 0.00443521672298289 0.00312060759663749 0.005082 0.003073
rs116948922 0.0244586 0.00394568 -0.003862 0.005472 0.0170560445551908 0.00554833170854138 0.003862 0.005472
rs11768481 0.00901238 0.00147464 0.001503 0.00204 0.00124621220972287 0.00203777486362433 -0.001503 0.00204
rs11783093 0.01571 0.00189655 -0.003339 0.002629 -0.00338522054810175 0.00265150936981465 0.003339 0.002629
rs11786713 0.00796712 0.00145396 0.005684 0.00202 -0.003506225836582 0.00201427411333919 -0.005684 0.00202
rs11801576 -0.0102544 0.00161776 0.002041 0.002238 0.00262629034197248 0.00224379126505176 -0.002041 0.002238
rs11861214 0.00945079 0.00168455 0.002042 0.002345 -0.00707945484650743 0.0022684036513902 -0.002042 0.002345
rs11921010 0.00809898 0.00141715 0.001004 0.001944 0.0127345487564724 0.00197678534239379 -0.001004 0.001944
