SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 0.001318 0.002104 -0.00279432524502648 0.00197588632959898 0.001318 0.002104
rs1004787 0.0299231195831601 0.00357139850186026 -0.00385 0.002065 0.0152707306003876 0.00193782259511512 -0.00385 0.002065
rs10159545 0.0262501152217945 0.0037272658976418 -0.000452 0.00216 -3.05916433659627e-05 0.00201715322846036 -0.000452 0.00216
rs10233018 0.0270690382961853 0.00355740691271967 -0.002789 0.002048 0.00135383222475611 0.00193011104444232 -0.002789 0.002048
rs10279261 -0.0214193598061592 0.00366263324610703 0.001674 0.002113 -0.0053399566988804 0.00198732610158993 0.001674 0.002113
rs1029984 0.0208269529381039 0.00358234481029148 0.002283 0.002088 0.00506753492972082 0.00194474141846021 0.002283 0.002088
rs10490159 0.0216491746167544 0.00363351675217803 0.001811 0.002095 0.00170887846232243 0.00197324288046842 0.001811 0.002095
rs10498846 0.0206102939104822 0.0035556134988868 0.000187 0.002054 0.00565446050126944 0.00192927702625961 0.000187 0.002054
rs1050847 -0.0216231194546871 0.00358893039059423 -0.000388 0.002085 -0.0034116220690947 0.00195029452630233 -0.000388 0.002085
rs10905461 -0.0239553893082787 0.00414505215800124 -0.002793 0.002344 -5.18772746671008e-05 0.00224285016723895 -0.002793 0.002344
rs10945141 0.0222362623959129 0.00405301809262339 -0.001185 0.002333 -0.000279212887774087 0.00219370362599706 -0.001185 0.002333
rs10956809 -0.0207810646080611 0.00357975119008573 0.001193 0.002069 -0.00365021910373888 0.00194281559540841 0.001193 0.002069
rs11012840 -0.0229683403087224 0.00381746732931954 0.002203 0.002214 -0.00171558835702097 0.00207133828471283 0.002203 0.002214
rs11057005 -0.0209297802537554 0.00357891690904206 0.000524 0.00208 -0.00375633525741927 0.00194235472110577 0.000524 0.00208
rs11078713 -0.0201720919993512 0.00360561018144231 0.004273 0.002083 -0.00825120063739791 0.00195572211380808 0.004273 0.002083
rs11135030 0.0226893782007283 0.00386850687475036 -0.000483 0.002223 0.00392328077599028 0.00209708178512461 -0.000483 0.002223
rs1154693 0.0326216682994671 0.00491232251908705 0.002384 0.002897 0.00499153472202074 0.00267959623615215 0.002384 0.002897
rs11594623 0.0270090747742326 0.0041626381416524 0.004963 0.002374 -0.00011822780975605 0.00225862620538717 0.004963 0.002374
rs1160685 0.020772436428493 0.00358893039059423 0.001902 0.002063 0.00293802407893798 0.00194575397919479 0.001902 0.002063
rs11658881 0.0201357214327675 0.00361066336779864 0.004694 0.002079 -0.00306952549102866 0.00195705797323418 0.004694 0.002079
rs11678980 0.0203418465799605 0.00356819593409352 0.000354 0.002126 0.00506438618829572 0.001936416456653 0.000354 0.002126
rs11712680 -0.0270476240432524 0.00457842819835389 0.001075 0.002637 -0.00506076486519008 0.00248423176754458 0.001075 0.002637
rs117143374 0.0292896903222678 0.00526908907209351 0.004529 0.002958 0.00737094228000586 0.00284977092660223 0.004529 0.002958
rs11716779 0.0219898669573908 0.00402823195017628 -0.004627 0.00237 0.00435475274942851 0.00218834559463984 -0.004627 0.00237
rs11721059 0.0199356867182187 0.00356335451016015 0.004897 0.002068 -0.00279516775676036 0.00193345796628323 0.004897 0.002068
rs11768481 -0.0232016673678623 0.00376380745301786 0.003077 0.002185 -0.00124621220972287 0.00203777486362433 0.003077 0.002185
rs117695734 -0.0551772756302046 0.00881286708017 0.011287 0.005587 -0.00166270053381554 0.00481992805235058 0.011287 0.005587
rs11872397 -0.0247725406457757 0.00409477465918092 -0.002253 0.002364 0.000658344131039372 0.00222180382624131 -0.002253 0.002364
rs11873164 -0.0281424962795397 0.0049517801685124 -0.002448 0.002799 -0.00892752034305655 0.00267959623615215 -0.002448 0.002799
rs12027999 -0.0330855002964445 0.00533914965204459 -0.00272 0.003102 -0.00403608015449539 0.00288291439606814 -0.00272 0.003102
rs12042107 -0.0222833764663073 0.00356819593409352 0.002341 0.002061 -0.00625384875352575 0.00193923617576155 0.002341 0.002061
rs12112638 -0.0245259680994854 0.00404298611398216 -0.00173 0.002325 -0.0107692751812262 0.00219370362599706 -0.00173 0.002325
rs12186738 -0.0332644351638424 0.00502051065741958 -0.002848 0.002923 -0.00394760094330485 0.00272410345300206 -0.002848 0.002923
rs12333760 -0.0290466837454973 0.0048012687206787 0.006349 0.002761 -0.0114744686013406 0.00260514389735685 0.006349 0.002761
rs12356821 0.0393700355945343 0.00504910053010178 0.000909 0.002914 0.00545176734720475 0.00273961617196808 0.000909 0.002914
rs12441907 -0.0292050638015571 0.00452262034266214 0.006126 0.002621 -0.00692344695446273 0.00245395070994542 0.006126 0.002621
rs12474587 0.0276328620164367 0.00358234481029148 -0.001697 0.002073 0.00454607663043309 0.00194376200618898 -0.001697 0.002073
rs12545053 0.0202807978238853 0.00363667793165178 -0.001986 0.002091 0.00647910096908753 0.00197152764062379 -0.001986 0.002091
rs12632110 -0.0233768243046966 0.00375292296589672 0.005514 0.002185 -0.00160628674159163 0.00203343727254299 0.005514 0.002185
rs12662631 0.0209986399155672 0.00383380958622819 -0.000899 0.002214 0.00184424033173423 0.00208020550988421 -0.000899 0.002214
rs12923427 -0.0239086627298819 0.00437239804530611 -0.000361 0.002488 0.000844029858824486 0.00236840489626579 -0.000361 0.002488
rs13030994 0.036092466377408 0.00355629638428205 -0.005809 0.00205 0.00220020717291453 0.00192970934514154 -0.005809 0.00205
rs13136052 -0.0198097007760779 0.00358697207728253 -0.00163 0.002097 0.000893542493412248 0.00194524354587409 -0.00163 0.002097
rs13261666 -0.0268945748386775 0.00355604025615263 0.001902 0.002047 -0.00511968772487079 0.00192955491218008 0.001902 0.002047
rs1343432 0.0234447333974563 0.00417724570940657 0.004317 0.002365 0.00284110979388682 0.00226745246383358 0.004317 0.002365
rs134529 -0.0199839528321729 0.00366077691353738 -0.000293 0.002116 -0.0025848463160869 0.00198834332006685 -0.000293 0.002116
rs1355334 0.0244176044443055 0.00377221156810223 0.002667 0.002186 -0.000854425361282608 0.00204832802296701 0.002667 0.002186
rs1385108 0.0246616993390394 0.00415672857562255 -0.001032 0.002395 0.00116977816457974 0.00225541970502771 -0.001032 0.002395
rs1435741 0.0294151238128526 0.00359095051725429 0.001501 0.002071 0.00622458161030396 0.00194899210310713 0.001501 0.002071
rs1445649 0.0239932341418356 0.00356483711793006 0.00264 0.002055 0.00403945138688147 0.00193454635811405 0.00264 0.002055
rs1518393 0.0205357436417922 0.00365893889953371 -0.000497 0.002127 0.00874443443169506 0.00198532156799888 -0.000497 0.002127
rs1555445 0.0225547968430225 0.00382339614270885 -0.019758 0.002222 0.00507373794426157 0.00206618581819979 -0.019758 0.002222
rs1565735 -0.0376180342371462 0.00446129865085708 -0.006871 0.002567 0.00333283237977394 0.00241155287370073 -0.006871 0.002567
rs17234745 -0.0285620257898205 0.00504910053010178 -0.006273 0.002891 -0.00714525637075994 0.00272410345300206 -0.006273 0.002891
rs17534089 -0.0322634074908758 0.00518626556041132 -0.002079 0.002991 -0.0035147363537479 0.00281404121718637 -0.002079 0.002991
rs1899896 0.0264481246881374 0.00388690913511059 0.003318 0.002247 0.00786298580600894 0.00210901705403453 0.003318 0.002247
rs1971318 0.0285074215505192 0.00492533227444622 -0.006187 0.00281 0.00610000371329191 0.0026724601482865 -0.006187 0.00281
rs2046850 -0.0248138529358474 0.00447842201706439 -0.006567 0.002602 -0.00457369260017043 0.00243433094279559 -0.006567 0.002602
rs2050586 -0.0205466601064923 0.00370827598744739 0.002978 0.002137 0.00357313741893795 0.00201323486156339 0.002978 0.002137
rs2107300 -0.0272010365504313 0.00492533227444622 -0.001778 0.002828 -0.00478810597353653 0.0026724601482865 -0.001778 0.002828
rs2186122 0.0260572863256767 0.00358601600776158 0.00345 0.002072 0.00779494175092274 0.00194873543773068 0.00345 0.002072
rs222449 -0.0253208232805482 0.00442796261888848 0.00068 0.002572 0.00122036432179388 0.00240258991225364 0.00068 0.002572
rs2276825 0.0232182222507148 0.00415672857562255 0.004591 0.002458 0.00605612740209572 0.00225541970502771 0.004591 0.002458
rs2344508 -0.0219720098837396 0.00358323971714277 -0.002798 0.002063 -0.00728594698060653 0.00194725123854498 -0.002798 0.002063
rs2378662 0.0209481549927184 0.0035664507489796 0.003845 0.00207 0.00175234196107078 0.00193513796966036 0.003845 0.00207
rs240963 -0.0410443522424762 0.0048371233000107 -0.001385 0.0028 -0.00540437889767064 0.00262459840906472 -0.001385 0.0028
rs2631024 -0.0229644553809509 0.00402823195017628 -0.004925 0.002342 0.000782926321260301 0.00218834559463984 -0.004925 0.002342
rs266047 -0.0305098439360886 0.0037385472299354 0.00044 0.002052 -0.00267282236012339 0.00193398638424304 0.00044 0.002052
