SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 -0.000389 0.00189 -0.006 0.0018 -0.000389 0.00189
rs1004787 0.0299231195831601 0.00357139850186026 -0.002311 0.001858 2e-04 0.0019 -0.002311 0.001858
rs10159545 0.0262501152217945 0.0037272658976418 0.001413 0.001942 0.0176 0.002 -0.001413 0.001942
rs10233018 0.0270690382961853 0.00355740691271967 -0.000479 0.001842 0.0029 0.0019 0.000479 0.001842
rs10279261 -0.0214193598061592 0.00366263324610703 0.001024 0.001903 -0.0021 0.0017 0.001024 0.001903
rs1029984 0.0208269529381039 0.00358234481029148 0.001632 0.001872 0.0051 0.0019 0.001632 0.001872
rs10490159 0.0216491746167544 0.00363351675217803 -0.000552 0.001883 9e-04 0.0017 -0.000552 0.001883
rs10498846 0.0206102939104822 0.0035556134988868 0.003918 0.00184 -6e-04 0.0017 0.003918 0.00184
rs1050847 -0.0216231194546871 0.00358893039059423 -0.004164 0.001911 0.0016 0.0017 -0.004164 0.001911
rs10905461 -0.0239553893082787 0.00414505215800124 0.002354 0.002104 0.001 0.0019 -0.002354 0.002104
rs10945141 0.0222362623959129 0.00405301809262339 0.000782 0.002088 -0.0043 0.0019 0.000782 0.002088
rs10956809 -0.0207810646080611 0.00357975119008573 -0.005831 0.001866 -0.0035 0.0019 -0.005831 0.001866
rs11012840 -0.0229683403087224 0.00381746732931954 -0.000583 0.001986 -0.0163 0.002 -0.000583 0.001986
rs11057005 -0.0209297802537554 0.00357891690904206 0.002171 0.001867 -0.0032 0.0017 -0.002171 0.001867
rs11078713 -0.0201720919993512 0.00360561018144231 0.01703 0.001876 0.0083 0.0017 -0.01703 0.001876
rs11135030 0.0226893782007283 0.00386850687475036 -0.002546 0.001997 0.002 0.0018 -0.002546 0.001997
rs1154693 0.0326216682994671 0.00491232251908705 -0.00452 0.002617 0.0085 0.0027 0.00452 0.002617
