SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 -0.000748 0.001877 -0.00279432524502648 0.00197588632959898 -0.000748 0.001877
rs1004787 0.0299231195831601 0.00357139850186026 -0.002871 0.001845 0.0152707306003876 0.00193782259511512 -0.002871 0.001845
rs10159545 0.0262501152217945 0.0037272658976418 0.006658 0.001933 -3.05916433659627e-05 0.00201715322846036 0.006658 0.001933
rs10233018 0.0270690382961853 0.00355740691271967 0.005052 0.001833 0.00135383222475611 0.00193011104444232 0.005052 0.001833
rs10279261 -0.0214193598061592 0.00366263324610703 0.000876 0.001888 -0.0053399566988804 0.00198732610158993 0.000876 0.001888
rs1029984 0.0208269529381039 0.00358234481029148 -0.00039 0.001859 0.00506753492972082 0.00194474141846021 -0.00039 0.001859
rs10490159 0.0216491746167544 0.00363351675217803 0.000827 0.001871 0.00170887846232243 0.00197324288046842 0.000827 0.001871
rs10498846 0.0206102939104822 0.0035556134988868 0.001325 0.001828 0.00565446050126944 0.00192927702625961 0.001325 0.001828
rs1050847 -0.0216231194546871 0.00358893039059423 -0.00406 0.001899 -0.0034116220690947 0.00195029452630233 -0.00406 0.001899
rs10905461 -0.0239553893082787 0.00414505215800124 -0.000623 0.002097 -5.18772746671008e-05 0.00224285016723895 -0.000623 0.002097
rs10945141 0.0222362623959129 0.00405301809262339 -0.00125 0.002075 -0.000279212887774087 0.00219370362599706 -0.00125 0.002075
rs10956809 -0.0207810646080611 0.00357975119008573 0.000341 0.001856 -0.00365021910373888 0.00194281559540841 0.000341 0.001856
rs11012840 -0.0229683403087224 0.00381746732931954 -0.002903 0.001977 -0.00171558835702097 0.00207133828471283 -0.002903 0.001977
rs11057005 -0.0209297802537554 0.00357891690904206 -0.001545 0.00185 -0.00375633525741927 0.00194235472110577 -0.001545 0.00185
rs11078713 -0.0201720919993512 0.00360561018144231 0.006159 0.001861 -0.00825120063739791 0.00195572211380808 0.006159 0.001861
rs11135030 0.0226893782007283 0.00386850687475036 -0.001838 0.00198 0.00392328077599028 0.00209708178512461 -0.001838 0.00198
rs1154693 0.0326216682994671 0.00491232251908705 -0.004423 0.002588 0.00499153472202074 0.00267959623615215 -0.004423 0.002588
rs11594623 0.0270090747742326 0.0041626381416524 0.004605 0.002133 -0.00011822780975605 0.00225862620538717 0.004605 0.002133
rs1160685 0.020772436428493 0.00358893039059423 0.000129 0.001842 0.00293802407893798 0.00194575397919479 0.000129 0.001842
rs11658881 0.0201357214327675 0.00361066336779864 -0.004493 0.001855 -0.00306952549102866 0.00195705797323418 -0.004493 0.001855
rs11678980 0.0203418465799605 0.00356819593409352 -0.003116 0.001904 0.00506438618829572 0.001936416456653 -0.003116 0.001904
rs11712680 -0.0270476240432524 0.00457842819835389 0.000118 0.002354 -0.00506076486519008 0.00248423176754458 0.000118 0.002354
rs117143374 0.0292896903222678 0.00526908907209351 -0.023498 0.002658 0.00737094228000586 0.00284977092660223 -0.023498 0.002658
rs11716779 0.0219898669573908 0.00402823195017628 0.000177 0.002129 0.00435475274942851 0.00218834559463984 0.000177 0.002129
rs11721059 0.0199356867182187 0.00356335451016015 0.002561 0.001847 -0.00279516775676036 0.00193345796628323 0.002561 0.001847
rs11768481 -0.0232016673678623 0.00376380745301786 0.003229 0.001952 -0.00124621220972287 0.00203777486362433 0.003229 0.001952
rs117695734 -0.0551772756302046 0.00881286708017 0.006328 0.005027 -0.00166270053381554 0.00481992805235058 0.006328 0.005027
rs11872397 -0.0247725406457757 0.00409477465918092 -0.003519 0.002124 0.000658344131039372 0.00222180382624131 -0.003519 0.002124
rs11873164 -0.0281424962795397 0.0049517801685124 -0.004721 0.002509 -0.00892752034305655 0.00267959623615215 -0.004721 0.002509
rs12027999 -0.0330855002964445 0.00533914965204459 0.007037 0.002769 -0.00403608015449539 0.00288291439606814 0.007037 0.002769
rs12042107 -0.0222833764663073 0.00356819593409352 -0.001749 0.001832 -0.00625384875352575 0.00193923617576155 -0.001749 0.001832
rs12112638 -0.0245259680994854 0.00404298611398216 0.004504 0.002072 -0.0107692751812262 0.00219370362599706 0.004504 0.002072
rs12186738 -0.0332644351638424 0.00502051065741958 0.000587 0.002609 -0.00394760094330485 0.00272410345300206 0.000587 0.002609
rs12333760 -0.0290466837454973 0.0048012687206787 -0.009103 0.002472 -0.0114744686013406 0.00260514389735685 -0.009103 0.002472
rs12356821 0.0393700355945343 0.00504910053010178 0.009752 0.002604 0.00545176734720475 0.00273961617196808 0.009752 0.002604
rs12441907 -0.0292050638015571 0.00452262034266214 0.010754 0.002347 -0.00692344695446273 0.00245395070994542 0.010754 0.002347
rs12474587 0.0276328620164367 0.00358234481029148 -0.006986 0.001853 0.00454607663043309 0.00194376200618898 -0.006986 0.001853
rs12545053 0.0202807978238853 0.00363667793165178 -0.002242 0.001876 0.00647910096908753 0.00197152764062379 -0.002242 0.001876
rs12632110 -0.0233768243046966 0.00375292296589672 -0.000893 0.002043 -0.00160628674159163 0.00203343727254299 -0.000893 0.002043
rs12662631 0.0209986399155672 0.00383380958622819 -0.00159 0.001978 0.00184424033173423 0.00208020550988421 -0.00159 0.001978
rs12923427 -0.0239086627298819 0.00437239804530611 0.004495 0.002229 0.000844029858824486 0.00236840489626579 0.004495 0.002229
