SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10226228 -0.0114099 0.00143702 -0.005237 0.002001 0.000649639135211335 0.00200482989659171 0.005237 0.002001
rs10228494 -0.00834755 0.00141017 -0.003551 0.001963 -0.00471535955178249 0.00194956123499343 0.003551 0.001963
rs10282292 0.00896219 0.0014469 0.003014 0.002009 0.000362960083058805 0.00201334029294645 -0.003014 0.002009
rs10458563 -0.00971347 0.00170587 -0.00356 0.002365 -0.00684965690096582 0.00239785953521186 0.00356 0.002365
rs1050847 0.00797046 0.00140503 2e-05 0.001961 0.0034116220690947 0.00195029452630233 -2e-05 0.001961
rs10759934 0.0081033 0.00139392 0.000142 0.001939 0.000786223361403496 0.00192970934514154 -0.000142 0.001939
rs10819050 -0.0111702 0.00140848 0.002134 0.001955 -0.00443226156520249 0.00203366107937443 -0.002134 0.001955
rs10823968 0.00813544 0.00145258 -0.000303 0.002017 0.00421003293524031 0.00199574701262055 0.000303 0.002017
rs10879871 -0.00957988 0.00145803 -0.004494 0.002026 -0.00955263473075138 0.00203201558651829 0.004494 0.002026
rs10918701 0.00802389 0.00143191 0.001475 0.001981 0.0030762502795602 0.00199823928641645 -0.001475 0.001981
rs10922907 0.0101748 0.00139495 0.003102 0.001931 0.00648992556107398 0.00193923617576155 -0.003102 0.001931
rs10945143 -0.00883899 0.00159048 -0.003827 0.002192 0.000224320488266448 0.00221029544781041 0.003827 0.002192
rs11023819 0.00849017 0.00140527 0.000939 0.001951 0.002055842697862 0.00195131953468511 -0.000939 0.001951
rs11023894 0.00758653 0.00138895 0.000369 0.001928 0.00308085148587009 0.00192930403767763 -0.000369 0.001928
rs11123962 -0.00890367 0.00139223 -0.003087 0.001936 -0.00322028023056633 0.00194190204447049 0.003087 0.001936
rs11134664 -0.00928494 0.00149314 -0.004491 0.002073 -0.00247283621778652 0.00206788952918013 0.004491 0.002073
rs11210229 0.011702 0.00142273 0.002941 0.001969 0.00474927448815654 0.00198403788051499 -0.002941 0.001969
rs112282219 -0.0231662 0.00350418 0.011014 0.00487 -0.0166141327547057 0.00483656103479568 -0.011014 0.00487
rs11255908 -0.0100713 0.00158809 -0.006851 0.002212 -5.86920473282668e-05 0.00224908414043452 0.006851 0.002212
