SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 0.002006 0.001973 -0.006 0.0018 0.002006 0.001973
rs1004787 0.0299231195831601 0.00357139850186026 0.001479 0.001927 2e-04 0.0019 0.001479 0.001927
rs10159545 0.0262501152217945 0.0037272658976418 -0.005273 0.002021 0.0176 0.002 0.005273 0.002021
rs10233018 0.0270690382961853 0.00355740691271967 -0.005679 0.001911 0.0029 0.0019 0.005679 0.001911
rs10279261 -0.0214193598061592 0.00366263324610703 0.000688 0.001977 -0.0021 0.0017 0.000688 0.001977
rs1029984 0.0208269529381039 0.00358234481029148 -0.002058 0.001948 0.0051 0.0019 -0.002058 0.001948
rs10490159 0.0216491746167544 0.00363351675217803 0.003141 0.001954 9e-04 0.0017 0.003141 0.001954
rs10498846 0.0206102939104822 0.0035556134988868 -0.000506 0.001926 -6e-04 0.0017 -0.000506 0.001926
rs1050847 -0.0216231194546871 0.00358893039059423 0.005226 0.001962 0.0016 0.0017 0.005226 0.001962
rs10905461 -0.0239553893082787 0.00414505215800124 0.001644 0.002195 0.001 0.0019 -0.001644 0.002195
rs10945141 0.0222362623959129 0.00405301809262339 -0.000196 0.002189 -0.0043 0.0019 -0.000196 0.002189
rs10956809 -0.0207810646080611 0.00357975119008573 -2.1e-05 0.001944 -0.0035 0.0019 -2.1e-05 0.001944
rs11012840 -0.0229683403087224 0.00381746732931954 0.00069 0.002073 -0.0163 0.002 0.00069 0.002073
rs11057005 -0.0209297802537554 0.00357891690904206 0.002422 0.001915 -0.0032 0.0017 -0.002422 0.001915
rs11078713 -0.0201720919993512 0.00360561018144231 0.003465 0.001944 0.0083 0.0017 -0.003465 0.001944
rs11135030 0.0226893782007283 0.00386850687475036 0.001562 0.002077 0.002 0.0018 0.001562 0.002077
rs1154693 0.0326216682994671 0.00491232251908705 -0.003295 0.002695 0.0085 0.0027 0.003295 0.002695
rs11594623 0.0270090747742326 0.0041626381416524 0.005431 0.002222 0.0056 0.0022 -0.005431 0.002222
rs1160685 0.020772436428493 0.00358893039059423 0.001839 0.001934 6e-04 0.0017 -0.001839 0.001934
rs11658881 0.0201357214327675 0.00361066336779864 -0.001561 0.001942 -0.004 0.0017 0.001561 0.001942
rs11678980 0.0203418465799605 0.00356819593409352 0.003645 0.001988 0.0084 0.002 0.003645 0.001988
rs11712680 -0.0270476240432524 0.00457842819835389 0.004592 0.002453 -0.0072 0.0022 -0.004592 0.002453
rs117143374 0.0292896903222678 0.00526908907209351 0.017571 0.002787 -0.0146 0.0028 -0.017571 0.002787
rs11716779 0.0219898669573908 0.00402823195017628 -0.009777 0.002201 0.0123 0.0019 0.009777 0.002201
rs11721059 0.0199356867182187 0.00356335451016015 0.002537 0.001924 0.003 0.0017 0.002537 0.001924
rs11768481 -0.0232016673678623 0.00376380745301786 -0.001503 0.00204 -0.0062 0.002 -0.001503 0.00204
rs117695734 -0.0551772756302046 0.00881286708017 0.003282 0.005222 -0.0028 0.0053 -0.003282 0.005222
rs11872397 -0.0247725406457757 0.00409477465918092 0.003445 0.002218 0.0026 0.0022 0.003445 0.002218
rs11873164 -0.0281424962795397 0.0049517801685124 -0.000476 0.002624 -0.0023 0.0026 -0.000476 0.002624
rs12027999 -0.0330855002964445 0.00533914965204459 -0.017097 0.00288 0.0023 0.0029 0.017097 0.00288
rs12042107 -0.0222833764663073 0.00356819593409352 0.000724 0.001914 -0.0107 0.0019 -0.000724 0.001914
rs12112638 -0.0245259680994854 0.00404298611398216 -0.002133 0.002168 0.0135 0.0021 0.002133 0.002168
rs12186738 -0.0332644351638424 0.00502051065741958 -0.000933 0.002731 -0.0085 0.0027 -0.000933 0.002731
rs12333760 -0.0290466837454973 0.0048012687206787 0.00391 0.002578 -0.0175 0.0024 -0.00391 0.002578
rs12356821 0.0393700355945343 0.00504910053010178 0.005316 0.002728 0.0101 0.0024 0.005316 0.002728
rs12441907 -0.0292050638015571 0.00452262034266214 0.003505 0.002464 -0.0049 0.0022 0.003505 0.002464
rs12474587 0.0276328620164367 0.00358234481029148 0.003822 0.001937 -0.0033 0.0017 0.003822 0.001937
rs12545053 0.0202807978238853 0.00363667793165178 0.000853 0.001968 -0.0036 0.0017 -0.000853 0.001968
rs12632110 -0.0233768243046966 0.00375292296589672 0.010932 0.002034 -0.0172 0.0018 -0.010932 0.002034
rs12662631 0.0209986399155672 0.00383380958622819 -0.000326 0.00208 0.0056 0.0018 -0.000326 0.00208
rs12923427 -0.0239086627298819 0.00437239804530611 0.003208 0.002334 -0.0065 0.002 0.003208 0.002334
rs13030994 0.036092466377408 0.00355629638428205 -0.000407 0.001916 0.0013 0.0019 -0.000407 0.001916
rs13136052 -0.0198097007760779 0.00358697207728253 -0.002731 0.001968 6e-04 0.0019 -0.002731 0.001968
rs13261666 -0.0268945748386775 0.00355604025615263 -0.004254 0.001922 -0.0053 0.0017 -0.004254 0.001922
rs1343432 0.0234447333974563 0.00417724570940657 0.000822 0.002202 0.0153 0.0022 0.000822 0.002202
rs134529 -0.0199839528321729 0.00366077691353738 -0.001738 0.001989 -0.0047 0.0017 0.001738 0.001989
rs1355334 0.0244176044443055 0.00377221156810223 0.008185 0.002048 0.0136 0.0018 0.008185 0.002048
rs1385108 0.0246616993390394 0.00415672857562255 -0.000902 0.002239 -5e-04 0.0022 -0.000902 0.002239
rs1435741 0.0294151238128526 0.00359095051725429 -0.001951 0.001947 -0.0067 0.0017 -0.001951 0.001947
rs1445649 0.0239932341418356 0.00356483711793006 0.001805 0.001922 0.0053 0.0017 -0.001805 0.001922
rs1518393 0.0205357436417922 0.00365893889953371 -0.001763 0.001981 -0.0029 0.002 0.001763 0.001981
rs1555445 0.0225547968430225 0.00382339614270885 -0.013226 0.002084 0.0035 0.0018 0.013226 0.002084
rs1565735 -0.0376180342371462 0.00446129865085708 0.003768 0.002416 0.0013 0.0021 0.003768 0.002416
rs17234745 -0.0285620257898205 0.00504910053010178 0.001512 0.002712 -0.0055 0.0024 -0.001512 0.002712
rs17534089 -0.0322634074908758 0.00518626556041132 -0.00321 0.002795 -0.006 0.0025 0.00321 0.002795
rs1899896 0.0264481246881374 0.00388690913511059 0.004091 0.002108 0.0094 0.0019 0.004091 0.002108
rs1971318 0.0285074215505192 0.00492533227444622 -0.007563 0.002589 0.0089 0.0026 -0.007563 0.002589
rs2046850 -0.0248138529358474 0.00447842201706439 -0.002184 0.002418 0.0022 0.002 -0.002184 0.002418
rs2050586 -0.0205466601064923 0.00370827598744739 -0.000657 0.001988 -0.0044 0.002 -0.000657 0.001988
rs2107300 -0.0272010365504313 0.00492533227444622 -0.003877 0.002645 -0.0025 0.0023 0.003877 0.002645
rs2186122 0.0260572863256767 0.00358601600776158 -0.004029 0.00193 0.0124 0.0017 0.004029 0.00193
rs222449 -0.0253208232805482 0.00442796261888848 -0.008134 0.002415 -0.006 0.0021 0.008134 0.002415
rs2276825 0.0232182222507148 0.00415672857562255 0.009346 0.002285 0.0153 0.002 -0.009346 0.002285
rs2344508 -0.0219720098837396 0.00358323971714277 -0.004529 0.001918 -0.0193 0.0016 -0.004529 0.001918
rs2378662 0.0209481549927184 0.0035664507489796 0.000719 0.001939 0.0065 0.0017 0.000719 0.001939
rs240963 -0.0410443522424762 0.0048371233000107 0.000195 0.002625 -0.0115 0.0026 -0.000195 0.002625
rs2631024 -0.0229644553809509 0.00402823195017628 0.002074 0.0022 -0.0052 0.0022 -0.002074 0.0022
rs266047 -0.0305098439360886 0.0037385472299354 -0.000244 0.001919 -0.0102 0.0019 -0.000244 0.001919
rs27003 0.0242168129229232 0.00383380958622819 -0.002443 0.002091 0.0045 0.0018 0.002443 0.002091
rs28372104 0.0237124469252186 0.00389830226103797 -0.006702 0.002108 -3e-04 0.0021 0.006702 0.002108
rs292071 0.0235821988549303 0.00400909407996469 0.000408 0.002159 0.0074 0.0019 -0.000408 0.002159
rs3001723 0.0335117979569998 0.00389830226103797 0.004515 0.002072 0.001 0.0018 0.004515 0.002072
rs301805 0.021467915176492 0.00361328749427589 0.000308 0.001937 0.0079 0.0018 -0.000308 0.001937
rs35702515 0.0252441728437111 0.00423093298129663 -0.001957 0.002304 0.0011 0.0023 -0.001957 0.002304
rs3800227 0.0228121191646138 0.00405809388433384 -0.009669 0.002206 0.0149 0.0019 0.009669 0.002206
rs3904512 -0.0211588854183522 0.0035765044073267 0.000908 0.001944 0.0029 0.0017 0.000908 0.001944
rs4044321 -0.0278416954894971 0.00371057728611977 0.001087 0.002005 -0.0031 0.0019 -0.001087 0.002005
rs4236259 -0.0247689190675964 0.00355660950494466 -0.000217 0.001931 0.001 0.0019 0.000217 0.001931
rs4275621 -0.0217330128147681 0.0036683129404749 -0.001026 0.001979 -0.0079 0.0019 0.001026 0.001979
rs4523689 -0.0206091006590057 0.00364320870753476 -0.001215 0.001964 0.0025 0.0019 0.001215 0.001964
rs4543592 0.0219314324929169 0.00356243865360826 0.002698 0.001934 -0.003 0.0017 -0.002698 0.001934
rs4549681 -0.0236966327871474 0.00373743468785647 -0.001156 0.001916 0.0036 0.0019 0.001156 0.001916
rs4571506 -0.0275746638599439 0.00356880699487212 0.003026 0.001926 -0.0068 0.0019 0.003026 0.001926
rs4674993 -0.0252122101883179 0.00443618509086005 2.6e-05 0.002397 -0.0016 0.0021 -2.6e-05 0.002397
rs4759228 -0.0216913082292544 0.00393413223853498 0.003314 0.002074 -0.015 0.0019 0.003314 0.002074
rs4785836 -0.020470446994321 0.00365893889953371 0 0.00199 0.002 0.002 0 0.00199
rs56820925 -0.0218638186698424 0.00387714869146327 -0.003253 0.001995 0.0088 0.002 -0.003253 0.001995
rs585282 0.0208986579175872 0.00370599506984915 0.003444 0.002003 -0.0095 0.0018 0.003444 0.002003
rs6050446 0.0583074883490012 0.0103074051013836 -0.003401 0.005456 0.0346 0.0047 0.003401 0.005456
rs61774463 -0.0235753524586583 0.00418065793154199 0.002306 0.002231 -0.0052 0.0022 0.002306 0.002231
rs62098013 0.0203386976796227 0.00369489266314749 -0.00208 0.00202 9e-04 0.002 -0.00208 0.00202
rs62262675 0.0263085437352356 0.00473279364762131 -0.012733 0.002564 0.0162 0.0025 0.012733 0.002564
rs6265 -0.031786296257863 0.00457842819835389 0.00241 0.002456 -0.0413 0.0021 0.00241 0.002456
rs6433897 0.0224482661870905 0.00405809388433384 0.010992 0.002178 0.0042 0.0019 -0.010992 0.002178
rs6508144 -0.0206935185481786 0.00358601600776158 0.000189 0.001947 -0.0016 0.0017 -0.000189 0.001947
rs6669839 0.0260041224560857 0.00439549894684844 -0.000308 0.002347 0.0129 0.0021 -0.000308 0.002347
rs6728726 0.0354485928265864 0.0047327936476213 0.004224 0.002537 0.0577 0.0022 -0.004224 0.002537
rs6788098 -0.0313460520986129 0.00368904754309202 -0.000825 0.001962 -0.0139 0.0017 0.000825 0.001962
rs6893752 -0.0240995341718086 0.00407356476845586 0.013443 0.002188 0.0028 0.002 -0.013443 0.002188
rs6948707 0.0224655592873339 0.00360198943206491 -0.00203 0.001938 0.0075 0.0019 0.00203 0.001938
rs7024924 0.0257703252557679 0.00468939081524967 0.002257 0.002515 0.0033 0.0022 -0.002257 0.002515
rs7197072 -0.0247672136264165 0.00416859590363882 -0.003187 0.002304 -0.0055 0.0023 -0.003187 0.002304
rs7224742 -0.0207098819916641 0.00365531751994394 -0.000221 0.001969 0.0019 0.002 -0.000221 0.001969
rs73138150 -0.0234393737491622 0.00381746732931954 -0.004603 0.002047 -0.0157 0.002 0.004603 0.002047
rs7322872 -0.0255712841733052 0.00433473863465867 -0.002038 0.002367 -0.0096 0.0023 -0.002038 0.002367
rs7555507 -0.0241444396950049 0.00355604025615263 0.002379 0.001903 0.0011 0.0019 0.002379 0.001903
rs7585579 0.022399646203376 0.00372810004129534 -0.000219 0.001931 8e-04 0.0017 0.000219 0.001931
rs76214862 -0.0249903162581497 0.00454745364554227 0.000349 0.002465 -0.0062 0.0024 -0.000349 0.002465
rs76608582 -0.0495574666847922 0.00825957778079869 0.004284 0.004792 -0.0186 0.0048 0.004284 0.004792
rs7901883 -0.0245289237463764 0.00425066008000902 -0.00215 0.002289 0.0022 0.002 -0.00215 0.002289
rs7921378 -0.0254600844384457 0.00355815496982807 0.003912 0.001925 0.0037 0.0017 0.003912 0.001925
rs7929518 0.0242376885051666 0.00428465847557264 -0.001566 0.002311 8e-04 0.002 0.001566 0.002311
rs7938812 0.0437914012665916 0.00363667793165178 -0.001493 0.001965 -0.0078 0.0017 0.001493 0.001965
rs7969559 -0.0243756057706745 0.00395945865508843 -0.003767 0.002106 -0.0131 0.0019 0.003767 0.002106
rs8039513 0.0263852744231818 0.00453170641373137 -0.004585 0.002473 0.0065 0.0021 0.004585 0.002473
rs846799 -0.0209451573233042 0.00355564905612407 -0.003167 0.00193 -0.0106 0.0019 0.003167 0.00193
rs9401770 0.0277306573995193 0.00398600174528558 0.001608 0.002167 -0.0074 0.0022 0.001608 0.002167
rs9423279 -0.0205131691957097 0.00370827598744739 -0.000546 0.002063 0.0029 0.002 0.000546 0.002063
rs9540729 -0.0195522233104744 0.00355789131490793 0.002056 0.001925 -0.0073 0.0017 -0.002056 0.001925
rs993700 -0.0259279909689629 0.00429163160110854 0.000188 0.002305 -0.0114 0.002 -0.000188 0.002305
