SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 -0.002503 0.001922 -0.006 0.0018 -0.002503 0.001922
rs1004787 0.0299231195831601 0.00357139850186026 -0.003545 0.001881 2e-04 0.0019 -0.003545 0.001881
rs10159545 0.0262501152217945 0.0037272658976418 0.009221 0.00205 0.0176 0.002 -0.009221 0.00205
rs10233018 0.0270690382961853 0.00355740691271967 0.002471 0.001871 0.0029 0.0019 -0.002471 0.001871
rs10279261 -0.0214193598061592 0.00366263324610703 0.000687 0.001928 -0.0021 0.0017 0.000687 0.001928
rs1029984 0.0208269529381039 0.00358234481029148 0.001992 0.0019 0.0051 0.0019 0.001992 0.0019
rs10490159 0.0216491746167544 0.00363351675217803 -0.001378 0.001908 9e-04 0.0017 -0.001378 0.001908
rs10498846 0.0206102939104822 0.0035556134988868 0.004606 0.001874 -6e-04 0.0017 0.004606 0.001874
rs1050847 -0.0216231194546871 0.00358893039059423 0.004102 0.001927 0.0016 0.0017 0.004102 0.001927
rs10905461 -0.0239553893082787 0.00414505215800124 -0.00143 0.002141 0.001 0.0019 0.00143 0.002141
rs10945141 0.0222362623959129 0.00405301809262339 -0.001534 0.002127 -0.0043 0.0019 -0.001534 0.002127
rs10956809 -0.0207810646080611 0.00357975119008573 -0.004482 0.001892 -0.0035 0.0019 -0.004482 0.001892
rs11012840 -0.0229683403087224 0.00381746732931954 -0.008641 0.002102 -0.0163 0.002 -0.008641 0.002102
rs11057005 -0.0209297802537554 0.00357891690904206 0.002506 0.0019 -0.0032 0.0017 -0.002506 0.0019
rs11078713 -0.0201720919993512 0.00360561018144231 0.004917 0.001904 0.0083 0.0017 -0.004917 0.001904
rs11135030 0.0226893782007283 0.00386850687475036 0.000915 0.002029 0.002 0.0018 0.000915 0.002029
rs1154693 0.0326216682994671 0.00491232251908705 0.000977 0.002642 0.0085 0.0027 -0.000977 0.002642
rs11594623 0.0270090747742326 0.0041626381416524 0.013295 0.002177 0.0056 0.0022 -0.013295 0.002177
rs1160685 0.020772436428493 0.00358893039059423 0.000214 0.001885 6e-04 0.0017 -0.000214 0.001885
rs11658881 0.0201357214327675 0.00361066336779864 0.005665 0.001898 -0.004 0.0017 -0.005665 0.001898
rs11678980 0.0203418465799605 0.00356819593409352 -0.003605 0.001935 0.0084 0.002 -0.003605 0.001935
rs11712680 -0.0270476240432524 0.00457842819835389 0.005647 0.002402 -0.0072 0.0022 -0.005647 0.002402
rs117143374 0.0292896903222678 0.00526908907209351 0.002948 0.002713 -0.0146 0.0028 -0.002948 0.002713
rs11716779 0.0219898669573908 0.00402823195017628 -0.008106 0.00217 0.0123 0.0019 0.008106 0.00217
rs11721059 0.0199356867182187 0.00356335451016015 -0.000511 0.001884 0.003 0.0017 -0.000511 0.001884
rs11768481 -0.0232016673678623 0.00376380745301786 -0.000608 0.001996 -0.0062 0.002 -0.000608 0.001996
rs117695734 -0.0551772756302046 0.00881286708017 0.001227 0.005137 -0.0028 0.0053 -0.001227 0.005137
rs11872397 -0.0247725406457757 0.00409477465918092 -0.003684 0.002171 0.0026 0.0022 -0.003684 0.002171
rs11873164 -0.0281424962795397 0.0049517801685124 -0.00532 0.002563 -0.0023 0.0026 -0.00532 0.002563
rs12027999 -0.0330855002964445 0.00533914965204459 0.000761 0.002832 0.0023 0.0029 -0.000761 0.002832
rs12042107 -0.0222833764663073 0.00356819593409352 0.001537 0.001877 -0.0107 0.0019 -0.001537 0.001877
rs12112638 -0.0245259680994854 0.00404298611398216 0.006517 0.002124 0.0135 0.0021 -0.006517 0.002124
rs12186738 -0.0332644351638424 0.00502051065741958 -0.005118 0.002669 -0.0085 0.0027 -0.005118 0.002669
rs12333760 -0.0290466837454973 0.0048012687206787 -0.004486 0.002529 -0.0175 0.0024 0.004486 0.002529
rs12356821 0.0393700355945343 0.00504910053010178 0.005734 0.002663 0.0101 0.0024 0.005734 0.002663
rs12441907 -0.0292050638015571 0.00452262034266214 0.001264 0.002395 -0.0049 0.0022 0.001264 0.002395
