SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 -0.000389 0.00189 -0.00279432524502648 0.00197588632959898 -0.000389 0.00189
rs1004787 0.0299231195831601 0.00357139850186026 -0.002311 0.001858 0.0152707306003876 0.00193782259511512 -0.002311 0.001858
rs10159545 0.0262501152217945 0.0037272658976418 0.001413 0.001942 -3.05916433659627e-05 0.00201715322846036 0.001413 0.001942
rs10233018 0.0270690382961853 0.00355740691271967 -0.000479 0.001842 0.00135383222475611 0.00193011104444232 -0.000479 0.001842
rs10279261 -0.0214193598061592 0.00366263324610703 0.001024 0.001903 -0.0053399566988804 0.00198732610158993 0.001024 0.001903
rs1029984 0.0208269529381039 0.00358234481029148 0.001632 0.001872 0.00506753492972082 0.00194474141846021 0.001632 0.001872
rs10490159 0.0216491746167544 0.00363351675217803 -0.000552 0.001883 0.00170887846232243 0.00197324288046842 -0.000552 0.001883
rs10498846 0.0206102939104822 0.0035556134988868 0.003918 0.00184 0.00565446050126944 0.00192927702625961 0.003918 0.00184
rs1050847 -0.0216231194546871 0.00358893039059423 -0.004164 0.001911 -0.0034116220690947 0.00195029452630233 -0.004164 0.001911
rs10905461 -0.0239553893082787 0.00414505215800124 0.002354 0.002104 -5.18772746671008e-05 0.00224285016723895 0.002354 0.002104
rs10945141 0.0222362623959129 0.00405301809262339 0.000782 0.002088 -0.000279212887774087 0.00219370362599706 0.000782 0.002088
rs10956809 -0.0207810646080611 0.00357975119008573 -0.005831 0.001866 -0.00365021910373888 0.00194281559540841 -0.005831 0.001866
rs11012840 -0.0229683403087224 0.00381746732931954 -0.000583 0.001986 -0.00171558835702097 0.00207133828471283 -0.000583 0.001986
rs11057005 -0.0209297802537554 0.00357891690904206 0.002171 0.001867 -0.00375633525741927 0.00194235472110577 0.002171 0.001867
rs11078713 -0.0201720919993512 0.00360561018144231 0.01703 0.001876 -0.00825120063739791 0.00195572211380808 0.01703 0.001876
rs11135030 0.0226893782007283 0.00386850687475036 -0.002546 0.001997 0.00392328077599028 0.00209708178512461 -0.002546 0.001997
rs1154693 0.0326216682994671 0.00491232251908705 -0.00452 0.002617 0.00499153472202074 0.00267959623615215 -0.00452 0.002617
rs11594623 0.0270090747742326 0.0041626381416524 -0.0041 0.002148 -0.00011822780975605 0.00225862620538717 -0.0041 0.002148
rs1160685 0.020772436428493 0.00358893039059423 -0.001235 0.001855 0.00293802407893798 0.00194575397919479 -0.001235 0.001855
rs11658881 0.0201357214327675 0.00361066336779864 0.000387 0.00187 -0.00306952549102866 0.00195705797323418 0.000387 0.00187
rs11678980 0.0203418465799605 0.00356819593409352 -0.002519 0.001917 0.00506438618829572 0.001936416456653 -0.002519 0.001917
rs11712680 -0.0270476240432524 0.00457842819835389 0.000816 0.002375 -0.00506076486519008 0.00248423176754458 0.000816 0.002375
rs117143374 0.0292896903222678 0.00526908907209351 -0.004383 0.00268 0.00737094228000586 0.00284977092660223 -0.004383 0.00268
rs11716779 0.0219898669573908 0.00402823195017628 -0.005045 0.002148 0.00435475274942851 0.00218834559463984 -0.005045 0.002148
rs11721059 0.0199356867182187 0.00356335451016015 -0.001672 0.001867 -0.00279516775676036 0.00193345796628323 -0.001672 0.001867
rs11768481 -0.0232016673678623 0.00376380745301786 0.001756 0.001961 -0.00124621220972287 0.00203777486362433 0.001756 0.001961
rs117695734 -0.0551772756302046 0.00881286708017 0.011168 0.005071 -0.00166270053381554 0.00481992805235058 0.011168 0.005071
rs11872397 -0.0247725406457757 0.00409477465918092 0.009605 0.002136 0.000658344131039372 0.00222180382624131 0.009605 0.002136
rs11873164 -0.0281424962795397 0.0049517801685124 -0.001499 0.00252 -0.00892752034305655 0.00267959623615215 -0.001499 0.00252
rs12027999 -0.0330855002964445 0.00533914965204459 0.004386 0.002795 -0.00403608015449539 0.00288291439606814 0.004386 0.002795
rs12042107 -0.0222833764663073 0.00356819593409352 -0.003696 0.00185 -0.00625384875352575 0.00193923617576155 -0.003696 0.00185
rs12112638 -0.0245259680994854 0.00404298611398216 0.005776 0.002085 -0.0107692751812262 0.00219370362599706 0.005776 0.002085
rs12186738 -0.0332644351638424 0.00502051065741958 0.001515 0.002623 -0.00394760094330485 0.00272410345300206 0.001515 0.002623
rs12333760 -0.0290466837454973 0.0048012687206787 -0.007352 0.002485 -0.0114744686013406 0.00260514389735685 -0.007352 0.002485
rs12356821 0.0393700355945343 0.00504910053010178 -0.012232 0.002623 0.00545176734720475 0.00273961617196808 -0.012232 0.002623
rs12441907 -0.0292050638015571 0.00452262034266214 -0.000848 0.002357 -0.00692344695446273 0.00245395070994542 -0.000848 0.002357
rs12474587 0.0276328620164367 0.00358234481029148 -0.004617 0.001866 0.00454607663043309 0.00194376200618898 -0.004617 0.001866
rs12545053 0.0202807978238853 0.00363667793165178 -0.001071 0.001888 0.00647910096908753 0.00197152764062379 -0.001071 0.001888
rs12632110 -0.0233768243046966 0.00375292296589672 -0.002626 0.002063 -0.00160628674159163 0.00203343727254299 -0.002626 0.002063
rs12662631 0.0209986399155672 0.00383380958622819 0.000203 0.001996 0.00184424033173423 0.00208020550988421 0.000203 0.001996
rs12923427 -0.0239086627298819 0.00437239804530611 0.001019 0.002241 0.000844029858824486 0.00236840489626579 0.001019 0.002241
rs13030994 0.036092466377408 0.00355629638428205 -0.007354 0.001845 0.00220020717291453 0.00192970934514154 -0.007354 0.001845
rs13136052 -0.0198097007760779 0.00358697207728253 -0.000796 0.001889 0.000893542493412248 0.00194524354587409 -0.000796 0.001889
rs13261666 -0.0268945748386775 0.00355604025615263 -5.9e-05 0.001842 -0.00511968772487079 0.00192955491218008 -5.9e-05 0.001842
rs1343432 0.0234447333974563 0.00417724570940657 -0.003349 0.002139 0.00284110979388682 0.00226745246383358 -0.003349 0.002139
rs134529 -0.0199839528321729 0.00366077691353738 0.012702 0.001909 -0.0025848463160869 0.00198834332006685 0.012702 0.001909
rs1355334 0.0244176044443055 0.00377221156810223 -0.001082 0.001966 -0.000854425361282608 0.00204832802296701 -0.001082 0.001966
rs1385108 0.0246616993390394 0.00415672857562255 -0.001959 0.002157 0.00116977816457974 0.00225541970502771 -0.001959 0.002157
rs1435741 0.0294151238128526 0.00359095051725429 0.00193 0.001864 0.00622458161030396 0.00194899210310713 0.00193 0.001864
rs1445649 0.0239932341418356 0.00356483711793006 0.000525 0.001851 0.00403945138688147 0.00193454635811405 0.000525 0.001851
rs1518393 0.0205357436417922 0.00365893889953371 -0.002284 0.001907 0.00874443443169506 0.00198532156799888 -0.002284 0.001907
rs1555445 0.0225547968430225 0.00382339614270885 0.003321 0.00202 0.00507373794426157 0.00206618581819979 0.003321 0.00202
rs1565735 -0.0376180342371462 0.00446129865085708 -0.002639 0.002316 0.00333283237977394 0.00241155287370073 -0.002639 0.002316
rs17234745 -0.0285620257898205 0.00504910053010178 -0.00551 0.002592 -0.00714525637075994 0.00272410345300206 -0.00551 0.002592
rs17534089 -0.0322634074908758 0.00518626556041132 0.00049 0.002692 -0.0035147363537479 0.00281404121718637 0.00049 0.002692
rs1899896 0.0264481246881374 0.00388690913511059 -0.000822 0.00202 0.00786298580600894 0.00210901705403453 -0.000822 0.00202
rs1971318 0.0285074215505192 0.00492533227444622 -0.004839 0.002539 0.00610000371329191 0.0026724601482865 -0.004839 0.002539
rs2046850 -0.0248138529358474 0.00447842201706439 -0.00348 0.002333 -0.00457369260017043 0.00243433094279559 -0.00348 0.002333
rs2050586 -0.0205466601064923 0.00370827598744739 -0.001032 0.001925 0.00357313741893795 0.00201323486156339 -0.001032 0.001925
rs2107300 -0.0272010365504313 0.00492533227444622 0.00169 0.002559 -0.00478810597353653 0.0026724601482865 0.00169 0.002559
rs2186122 0.0260572863256767 0.00358601600776158 -0.000736 0.001864 0.00779494175092274 0.00194873543773068 -0.000736 0.001864
rs222449 -0.0253208232805482 0.00442796261888848 0.00369 0.002309 0.00122036432179388 0.00240258991225364 0.00369 0.002309
rs2276825 0.0232182222507148 0.00415672857562255 -0.013034 0.002201 0.00605612740209572 0.00225541970502771 -0.013034 0.002201
rs2344508 -0.0219720098837396 0.00358323971714277 0.001072 0.001854 -0.00728594698060653 0.00194725123854498 0.001072 0.001854
rs2378662 0.0209481549927184 0.0035664507489796 -0.003707 0.001859 0.00175234196107078 0.00193513796966036 -0.003707 0.001859
rs240963 -0.0410443522424762 0.0048371233000107 0.00831 0.002516 -0.00540437889767064 0.00262459840906472 0.00831 0.002516
rs2631024 -0.0229644553809509 0.00402823195017628 -0.010015 0.002107 0.000782926321260301 0.00218834559463984 -0.010015 0.002107
rs266047 -0.0305098439360886 0.0037385472299354 0.000574 0.001849 -0.00267282236012339 0.00193398638424304 0.000574 0.001849
rs27003 0.0242168129229232 0.00383380958622819 0.001806 0.00201 0.00224428557655532 0.00207484274950115 0.001806 0.00201
rs28372104 0.0237124469252186 0.00389830226103797 -0.014381 0.002027 0.00115820154597784 0.00211106153416114 -0.014381 0.002027
rs292071 0.0235821988549303 0.00400909407996469 0.001305 0.002078 -0.00556958346090899 0.00217787947563732 0.001305 0.002078
rs3001723 0.0335117979569998 0.00389830226103797 -0.005513 0.002009 0.00319258921058594 0.00211899588342844 -0.005513 0.002009
rs301805 0.021467915176492 0.00361328749427589 0.003559 0.001889 0.00181243580617523 0.00196125334857939 0.003559 0.001889
rs35702515 0.0252441728437111 0.00423093298129663 0.003471 0.002232 0.00365556385490031 0.00230278877661496 0.003471 0.002232
rs3800227 0.0228121191646138 0.00405809388433384 -0.001995 0.00211 0.00485028942953935 0.00220467701342698 -0.001995 0.00211
rs3904512 -0.0211588854183522 0.0035765044073267 0.001816 0.001863 0.00165954476278233 0.00194102121699196 0.001816 0.001863
rs4044321 -0.0278416954894971 0.00371057728611977 0.002868 0.001933 -0.00720314521098815 0.00201334029294645 0.002868 0.001933
rs4236259 -0.0247689190675964 0.00355660950494466 0.00271 0.001948 -0.00125928156702916 0.0019293812194097 0.00271 0.001948
rs4275621 -0.0217330128147681 0.0036683129404749 0.001453 0.001904 -0.00626267217154463 0.00199040787475909 0.001453 0.001904
rs4523689 -0.0206091006590057 0.00364320870753476 -0.003924 0.001909 -0.00769651554092123 0.00197411458286804 -0.003924 0.001909
rs4543592 0.0219314324929169 0.00356243865360826 -0.000131 0.001857 0.000906528070107336 0.00193272433943353 -0.000131 0.001857
rs4549681 -0.0236966327871474 0.00373743468785647 0.002106 0.001846 -0.00239187736079176 0.00193371823569962 0.002106 0.001846
rs4571506 -0.0275746638599439 0.00356880699487212 -0.001291 0.00185 0.00795783915094062 0.00193576130540252 -0.001291 0.00185
rs4674993 -0.0252122101883179 0.00443618509086005 -0.002343 0.002309 0.000283293318355073 0.00241155287370073 -0.002343 0.002309
rs4759228 -0.0216913082292544 0.00393413223853498 -0.003171 0.002042 0.00210123857837585 0.00212800702795614 -0.003171 0.002042
rs4785836 -0.020470446994321 0.00365893889953371 -0.002434 0.001902 -0.00187609367515736 0.0019908935355214 -0.002434 0.001902
rs56820925 -0.0218638186698424 0.00387714869146327 -0.002361 0.001924 -0.00115121034807622 0.00199795472644126 -0.002361 0.001924
rs585282 0.0208986579175872 0.00370599506984915 -0.005788 0.001928 0.0105261649303275 0.00201460008066078 -0.005788 0.001928
rs6050446 0.0583074883490012 0.0103074051013836 -0.002051 0.00534 0.018873957136067 0.0055656263210508 -0.002051 0.00534
rs61774463 -0.0235753524586583 0.00418065793154199 0.005756 0.002175 0.00158842880950437 0.00226918401357767 0.005756 0.002175
rs62098013 0.0203386976796227 0.00369489266314749 -0.004918 0.001944 -0.00448926604333818 0.00200365749273201 -0.004918 0.001944
rs62262675 0.0263085437352356 0.00473279364762131 0.001773 0.002495 0.00622704401998459 0.00256798967228125 0.001773 0.002495
rs6265 -0.031786296257863 0.00457842819835389 0.015272 0.002362 -0.0132388810813651 0.00248423176754458 0.015272 0.002362
rs6433897 0.0224482661870905 0.00405809388433384 0.01143 0.002101 0.00348590043372344 0.00220467701342698 0.01143 0.002101
rs6508144 -0.0206935185481786 0.00358601600776158 -0.001462 0.001873 -0.00567797898002064 0.00194524354587409 -0.001462 0.001873
rs6669839 0.0260041224560857 0.00439549894684844 -0.002348 0.00228 0.00682061991080134 0.00239356835167504 -0.002348 0.00228
rs6728726 0.0354485928265864 0.0047327936476213 -0.005586 0.002466 0.00722069221652686 0.00255609733670556 -0.005586 0.002466
rs6788098 -0.0313460520986129 0.00368904754309202 0.00357 0.001903 -0.0143834099457019 0.00199846698807728 0.00357 0.001903
rs6893752 -0.0240995341718086 0.00407356476845586 0.006661 0.002107 -0.00537113663558543 0.00221313829514432 0.006661 0.002107
rs6948707 0.0224655592873339 0.00360198943206491 0.004333 0.001957 -0.00339079383981068 0.00195442107767743 0.004333 0.001957
rs7024924 0.0257703252557679 0.00468939081524967 0.003258 0.002414 0.00211337905206768 0.0025386964811784 0.003258 0.002414
rs7197072 -0.0247672136264165 0.00416859590363882 0.000191 0.002339 0.00559626126420925 0.0022367158481822 0.000191 0.002339
rs7224742 -0.0207098819916641 0.00365531751994394 0.000405 0.001908 -0.00186991253772896 0.00198433416873107 0.000405 0.001908
rs73138150 -0.0234393737491622 0.00381746732931954 -0.000478 0.001994 -0.00423486112771333 0.00207133828471283 -0.000478 0.001994
rs7322872 -0.0255712841733052 0.00433473863465867 0.003577 0.002278 0.00306664200911415 0.00235200705431911 0.003577 0.002278
rs7555507 -0.0241444396950049 0.00355604025615263 0.00046 0.001846 -0.00034359891320364 0.00193289490008373 0.00046 0.001846
rs7585579 0.022399646203376 0.00372810004129534 0.000463 0.001857 0.00272632543679146 0.00199903879957399 0.000463 0.001857
rs76214862 -0.0249903162581497 0.00454745364554227 0.003791 0.002361 -0.00151281605743766 0.00246385672942508 0.003791 0.002361
rs76608582 -0.0495574666847922 0.00825957778079869 0.008243 0.004847 -0.00228091216107641 0.00450804848236144 0.008243 0.004847
rs7901883 -0.0245289237463764 0.00425066008000902 -0.005809 0.002208 -0.000279281846483499 0.00229568263673287 -0.005809 0.002208
