SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10226228 -0.0114099 0.00143702 0.002112 0.001915 0.000649639135211335 0.00200482989659171 -0.002112 0.001915
rs10228494 -0.00834755 0.00141017 0.001633 0.001878 -0.00471535955178249 0.00194956123499343 -0.001633 0.001878
rs10282292 0.00896219 0.0014469 -0.00249 0.001922 0.000362960083058805 0.00201334029294645 0.00249 0.001922
rs10458563 -0.00971347 0.00170587 0.002229 0.002277 -0.00684965690096582 0.00239785953521186 -0.002229 0.002277
rs1050847 0.00797046 0.00140503 0.004164 0.001911 0.0034116220690947 0.00195029452630233 -0.004164 0.001911
rs10759934 0.0081033 0.00139392 0.001906 0.001855 0.000786223361403496 0.00192970934514154 -0.001906 0.001855
rs10819050 -0.0111702 0.00140848 -0.010363 0.001875 -0.00443226156520249 0.00203366107937443 0.010363 0.001875
rs10823968 0.00813544 0.00145258 0.002723 0.00193 0.00421003293524031 0.00199574701262055 -0.002723 0.00193
rs10879871 -0.00957988 0.00145803 0.000483 0.00194 -0.00955263473075138 0.00203201558651829 -0.000483 0.00194
rs10918701 0.00802389 0.00143191 -0.005678 0.001897 0.0030762502795602 0.00199823928641645 0.005678 0.001897
rs10922907 0.0101748 0.00139495 0.003774 0.001849 0.00648992556107398 0.00193923617576155 -0.003774 0.001849
rs10945143 -0.00883899 0.00159048 -3.8e-05 0.002107 0.000224320488266448 0.00221029544781041 3.8e-05 0.002107
rs11023819 0.00849017 0.00140527 -0.002367 0.001869 0.002055842697862 0.00195131953468511 0.002367 0.001869
rs11023894 0.00758653 0.00138895 -0.005814 0.001851 0.00308085148587009 0.00192930403767763 0.005814 0.001851
rs11123962 -0.00890367 0.00139223 0.000319 0.001858 -0.00322028023056633 0.00194190204447049 -0.000319 0.001858
rs11134664 -0.00928494 0.00149314 -0.000217 0.001993 -0.00247283621778652 0.00206788952918013 0.000217 0.001993
rs11210229 0.011702 0.00142273 -0.00025 0.001885 0.00474927448815654 0.00198403788051499 0.00025 0.001885
rs112282219 -0.0231662 0.00350418 -0.005317 0.004707 -0.0166141327547057 0.00483656103479568 0.005317 0.004707
rs11255908 -0.0100713 0.00158809 0.002255 0.002113 -5.86920473282668e-05 0.00224908414043452 -0.002255 0.002113
rs113382419 -0.0282339 0.00221376 -0.001744 0.002982 0.00443521672298289 0.00312060759663749 0.001744 0.002982
rs116948922 0.0244586 0.00394568 -0.001941 0.005368 0.0170560445551908 0.00554833170854138 0.001941 0.005368
rs11768481 0.00901238 0.00147464 -0.001756 0.001961 0.00124621220972287 0.00203777486362433 0.001756 0.001961
rs11783093 0.01571 0.00189655 0.003292 0.002527 -0.00338522054810175 0.00265150936981465 -0.003292 0.002527
rs11786713 0.00796712 0.00145396 0.003207 0.001953 -0.003506225836582 0.00201427411333919 -0.003207 0.001953
rs11801576 -0.0102544 0.00161776 -0.00286 0.002172 0.00262629034197248 0.00224379126505176 0.00286 0.002172
rs11861214 0.00945079 0.00168455 -0.001598 0.002381 -0.00707945484650743 0.0022684036513902 0.001598 0.002381
