SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 -0.002503 0.001922 -0.00279432524502648 0.00197588632959898 -0.002503 0.001922
rs1004787 0.0299231195831601 0.00357139850186026 -0.003545 0.001881 0.0152707306003876 0.00193782259511512 -0.003545 0.001881
rs10159545 0.0262501152217945 0.0037272658976418 0.009221 0.00205 -3.05916433659627e-05 0.00201715322846036 0.009221 0.00205
rs10233018 0.0270690382961853 0.00355740691271967 0.002471 0.001871 0.00135383222475611 0.00193011104444232 0.002471 0.001871
rs10279261 -0.0214193598061592 0.00366263324610703 0.000687 0.001928 -0.0053399566988804 0.00198732610158993 0.000687 0.001928
rs1029984 0.0208269529381039 0.00358234481029148 0.001992 0.0019 0.00506753492972082 0.00194474141846021 0.001992 0.0019
rs10490159 0.0216491746167544 0.00363351675217803 -0.001378 0.001908 0.00170887846232243 0.00197324288046842 -0.001378 0.001908
rs10498846 0.0206102939104822 0.0035556134988868 0.004606 0.001874 0.00565446050126944 0.00192927702625961 0.004606 0.001874
rs1050847 -0.0216231194546871 0.00358893039059423 0.004102 0.001927 -0.0034116220690947 0.00195029452630233 0.004102 0.001927
rs10905461 -0.0239553893082787 0.00414505215800124 -0.00143 0.002141 -5.18772746671008e-05 0.00224285016723895 -0.00143 0.002141
rs10945141 0.0222362623959129 0.00405301809262339 -0.001534 0.002127 -0.000279212887774087 0.00219370362599706 -0.001534 0.002127
rs10956809 -0.0207810646080611 0.00357975119008573 -0.004482 0.001892 -0.00365021910373888 0.00194281559540841 -0.004482 0.001892
rs11012840 -0.0229683403087224 0.00381746732931954 -0.008641 0.002102 -0.00171558835702097 0.00207133828471283 -0.008641 0.002102
rs11057005 -0.0209297802537554 0.00357891690904206 0.002506 0.0019 -0.00375633525741927 0.00194235472110577 0.002506 0.0019
rs11078713 -0.0201720919993512 0.00360561018144231 0.004917 0.001904 -0.00825120063739791 0.00195572211380808 0.004917 0.001904
rs11135030 0.0226893782007283 0.00386850687475036 0.000915 0.002029 0.00392328077599028 0.00209708178512461 0.000915 0.002029
rs1154693 0.0326216682994671 0.00491232251908705 0.000977 0.002642 0.00499153472202074 0.00267959623615215 0.000977 0.002642
rs11594623 0.0270090747742326 0.0041626381416524 0.013295 0.002177 -0.00011822780975605 0.00225862620538717 0.013295 0.002177
rs1160685 0.020772436428493 0.00358893039059423 0.000214 0.001885 0.00293802407893798 0.00194575397919479 0.000214 0.001885
rs11658881 0.0201357214327675 0.00361066336779864 0.005665 0.001898 -0.00306952549102866 0.00195705797323418 0.005665 0.001898
rs11678980 0.0203418465799605 0.00356819593409352 -0.003605 0.001935 0.00506438618829572 0.001936416456653 -0.003605 0.001935
rs11712680 -0.0270476240432524 0.00457842819835389 0.005647 0.002402 -0.00506076486519008 0.00248423176754458 0.005647 0.002402
rs117143374 0.0292896903222678 0.00526908907209351 0.002948 0.002713 0.00737094228000586 0.00284977092660223 0.002948 0.002713
rs11716779 0.0219898669573908 0.00402823195017628 -0.008106 0.00217 0.00435475274942851 0.00218834559463984 -0.008106 0.00217
rs11721059 0.0199356867182187 0.00356335451016015 -0.000511 0.001884 -0.00279516775676036 0.00193345796628323 -0.000511 0.001884
rs11768481 -0.0232016673678623 0.00376380745301786 -0.000608 0.001996 -0.00124621220972287 0.00203777486362433 -0.000608 0.001996
rs117695734 -0.0551772756302046 0.00881286708017 0.001227 0.005137 -0.00166270053381554 0.00481992805235058 0.001227 0.005137
rs11872397 -0.0247725406457757 0.00409477465918092 -0.003684 0.002171 0.000658344131039372 0.00222180382624131 -0.003684 0.002171
rs11873164 -0.0281424962795397 0.0049517801685124 -0.00532 0.002563 -0.00892752034305655 0.00267959623615215 -0.00532 0.002563
rs12027999 -0.0330855002964445 0.00533914965204459 0.000761 0.002832 -0.00403608015449539 0.00288291439606814 0.000761 0.002832
rs12042107 -0.0222833764663073 0.00356819593409352 0.001537 0.001877 -0.00625384875352575 0.00193923617576155 0.001537 0.001877
rs12112638 -0.0245259680994854 0.00404298611398216 0.006517 0.002124 -0.0107692751812262 0.00219370362599706 0.006517 0.002124
rs12186738 -0.0332644351638424 0.00502051065741958 -0.005118 0.002669 -0.00394760094330485 0.00272410345300206 -0.005118 0.002669
rs12333760 -0.0290466837454973 0.0048012687206787 -0.004486 0.002529 -0.0114744686013406 0.00260514389735685 -0.004486 0.002529
rs12356821 0.0393700355945343 0.00504910053010178 0.005734 0.002663 0.00545176734720475 0.00273961617196808 0.005734 0.002663
rs12441907 -0.0292050638015571 0.00452262034266214 0.001264 0.002395 -0.00692344695446273 0.00245395070994542 0.001264 0.002395
rs12474587 0.0276328620164367 0.00358234481029148 0.002089 0.001883 0.00454607663043309 0.00194376200618898 0.002089 0.001883
rs12545053 0.0202807978238853 0.00363667793165178 -0.002251 0.001912 0.00647910096908753 0.00197152764062379 -0.002251 0.001912
rs12632110 -0.0233768243046966 0.00375292296589672 -0.006584 0.002068 -0.00160628674159163 0.00203343727254299 -0.006584 0.002068
rs12662631 0.0209986399155672 0.00383380958622819 0.00349 0.002021 0.00184424033173423 0.00208020550988421 0.00349 0.002021
rs12923427 -0.0239086627298819 0.00437239804530611 -0.000183 0.002266 0.000844029858824486 0.00236840489626579 -0.000183 0.002266
rs13030994 0.036092466377408 0.00355629638428205 -0.005369 0.001864 0.00220020717291453 0.00192970934514154 -0.005369 0.001864
rs13136052 -0.0198097007760779 0.00358697207728253 -0.001691 0.001917 0.000893542493412248 0.00194524354587409 -0.001691 0.001917
rs13261666 -0.0268945748386775 0.00355604025615263 -0.000739 0.001869 -0.00511968772487079 0.00192955491218008 -0.000739 0.001869
rs1343432 0.0234447333974563 0.00417724570940657 -0.001072 0.002161 0.00284110979388682 0.00226745246383358 -0.001072 0.002161
rs134529 -0.0199839528321729 0.00366077691353738 0.006293 0.001938 -0.0025848463160869 0.00198834332006685 0.006293 0.001938
rs1355334 0.0244176044443055 0.00377221156810223 0.005942 0.001998 -0.000854425361282608 0.00204832802296701 0.005942 0.001998
rs1385108 0.0246616993390394 0.00415672857562255 0.00038 0.002191 0.00116977816457974 0.00225541970502771 0.00038 0.002191
rs1435741 0.0294151238128526 0.00359095051725429 0.004118 0.001893 0.00622458161030396 0.00194899210310713 0.004118 0.001893
rs1445649 0.0239932341418356 0.00356483711793006 -0.003163 0.001869 0.00403945138688147 0.00193454635811405 -0.003163 0.001869
rs1518393 0.0205357436417922 0.00365893889953371 0.002981 0.001935 0.00874443443169506 0.00198532156799888 0.002981 0.001935
rs1555445 0.0225547968430225 0.00382339614270885 -0.031977 0.002048 0.00507373794426157 0.00206618581819979 -0.031977 0.002048
rs1565735 -0.0376180342371462 0.00446129865085708 -0.003909 0.002344 0.00333283237977394 0.00241155287370073 -0.003909 0.002344
rs17234745 -0.0285620257898205 0.00504910053010178 -0.005578 0.00263 -0.00714525637075994 0.00272410345300206 -0.005578 0.00263
rs17534089 -0.0322634074908758 0.00518626556041132 -0.00113 0.002738 -0.0035147363537479 0.00281404121718637 -0.00113 0.002738
rs1899896 0.0264481246881374 0.00388690913511059 0.003052 0.002048 0.00786298580600894 0.00210901705403453 0.003052 0.002048
rs1971318 0.0285074215505192 0.00492533227444622 -0.004682 0.002579 0.00610000371329191 0.0026724601482865 -0.004682 0.002579
rs2046850 -0.0248138529358474 0.00447842201706439 0.002148 0.002368 -0.00457369260017043 0.00243433094279559 0.002148 0.002368
rs2050586 -0.0205466601064923 0.00370827598744739 0.001045 0.001951 0.00357313741893795 0.00201323486156339 0.001045 0.001951
rs2107300 -0.0272010365504313 0.00492533227444622 -0.000499 0.002583 -0.00478810597353653 0.0026724601482865 -0.000499 0.002583
rs2186122 0.0260572863256767 0.00358601600776158 -0.005531 0.001961 0.00779494175092274 0.00194873543773068 -0.005531 0.001961
