SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 -0.000886 0.002053 -0.006 0.0018 -0.000886 0.002053
rs1004787 0.0299231195831601 0.00357139850186026 0.001323 0.002015 2e-04 0.0019 0.001323 0.002015
rs10159545 0.0262501152217945 0.0037272658976418 -0.006377 0.002107 0.0176 0.002 0.006377 0.002107
rs10233018 0.0270690382961853 0.00355740691271967 -0.000773 0.002 0.0029 0.0019 0.000773 0.002
rs10279261 -0.0214193598061592 0.00366263324610703 -0.000802 0.002069 -0.0021 0.0017 -0.000802 0.002069
rs1029984 0.0208269529381039 0.00358234481029148 0.002875 0.002037 0.0051 0.0019 0.002875 0.002037
rs10490159 0.0216491746167544 0.00363351675217803 0.000506 0.002045 9e-04 0.0017 0.000506 0.002045
rs10498846 0.0206102939104822 0.0035556134988868 -0.000746 0.002004 -6e-04 0.0017 -0.000746 0.002004
rs1050847 -0.0216231194546871 0.00358893039059423 0.004596 0.002039 0.0016 0.0017 0.004596 0.002039
rs10905461 -0.0239553893082787 0.00414505215800124 -0.00309 0.002291 0.001 0.0019 0.00309 0.002291
rs10945141 0.0222362623959129 0.00405301809262339 0.002734 0.002276 -0.0043 0.0019 0.002734 0.002276
rs10956809 -0.0207810646080611 0.00357975119008573 -0.000159 0.002019 -0.0035 0.0019 -0.000159 0.002019
rs11012840 -0.0229683403087224 0.00381746732931954 0.006414 0.00216 -0.0163 0.002 0.006414 0.00216
rs11057005 -0.0209297802537554 0.00357891690904206 -0.002651 0.00203 -0.0032 0.0017 0.002651 0.00203
rs11078713 -0.0201720919993512 0.00360561018144231 0.002578 0.002032 0.0083 0.0017 -0.002578 0.002032
rs11135030 0.0226893782007283 0.00386850687475036 0.001328 0.002168 0.002 0.0018 0.001328 0.002168
rs1154693 0.0326216682994671 0.00491232251908705 -0.000611 0.002834 0.0085 0.0027 0.000611 0.002834
rs11594623 0.0270090747742326 0.0041626381416524 -0.003059 0.002319 0.0056 0.0022 0.003059 0.002319
rs1160685 0.020772436428493 0.00358893039059423 -0.000882 0.002014 6e-04 0.0017 0.000882 0.002014
rs11658881 0.0201357214327675 0.00361066336779864 -0.001679 0.002028 -0.004 0.0017 0.001679 0.002028
rs11678980 0.0203418465799605 0.00356819593409352 -0.000486 0.002082 0.0084 0.002 -0.000486 0.002082
rs11712680 -0.0270476240432524 0.00457842819835389 0.00223 0.002584 -0.0072 0.0022 -0.00223 0.002584
rs117143374 0.0292896903222678 0.00526908907209351 -0.004264 0.002892 -0.0146 0.0028 0.004264 0.002892
rs11716779 0.0219898669573908 0.00402823195017628 0.007665 0.002314 0.0123 0.0019 -0.007665 0.002314
rs11721059 0.0199356867182187 0.00356335451016015 -0.00051 0.002026 0.003 0.0017 -0.00051 0.002026
rs11768481 -0.0232016673678623 0.00376380745301786 -0.001274 0.002134 -0.0062 0.002 -0.001274 0.002134
rs117695734 -0.0551772756302046 0.00881286708017 -0.007731 0.00544 -0.0028 0.0053 0.007731 0.00544
rs11872397 -0.0247725406457757 0.00409477465918092 -0.003471 0.002307 0.0026 0.0022 -0.003471 0.002307
rs11873164 -0.0281424962795397 0.0049517801685124 0.004861 0.002732 -0.0023 0.0026 0.004861 0.002732
rs12027999 -0.0330855002964445 0.00533914965204459 0.001418 0.003025 0.0023 0.0029 -0.001418 0.003025
rs12042107 -0.0222833764663073 0.00356819593409352 0.000822 0.00201 -0.0107 0.0019 -0.000822 0.00201
rs12112638 -0.0245259680994854 0.00404298611398216 0.001044 0.002268 0.0135 0.0021 -0.001044 0.002268
rs12186738 -0.0332644351638424 0.00502051065741958 -0.000446 0.002849 -0.0085 0.0027 -0.000446 0.002849
rs12333760 -0.0290466837454973 0.0048012687206787 -0.001676 0.002695 -0.0175 0.0024 0.001676 0.002695
rs12356821 0.0393700355945343 0.00504910053010178 -0.003768 0.002844 0.0101 0.0024 -0.003768 0.002844
rs12441907 -0.0292050638015571 0.00452262034266214 -0.004505 0.002557 -0.0049 0.0022 -0.004505 0.002557
rs12474587 0.0276328620164367 0.00358234481029148 -0.001983 0.002029 -0.0033 0.0017 -0.001983 0.002029
rs12545053 0.0202807978238853 0.00363667793165178 0.000831 0.002045 -0.0036 0.0017 -0.000831 0.002045
rs12632110 -0.0233768243046966 0.00375292296589672 -0.002709 0.00214 -0.0172 0.0018 0.002709 0.00214
rs12662631 0.0209986399155672 0.00383380958622819 0.000605 0.002166 0.0056 0.0018 0.000605 0.002166
rs12923427 -0.0239086627298819 0.00437239804530611 -0.000138 0.002432 -0.0065 0.002 -0.000138 0.002432
rs13030994 0.036092466377408 0.00355629638428205 -0.00283 0.002006 0.0013 0.0019 -0.00283 0.002006
rs13136052 -0.0198097007760779 0.00358697207728253 0.003329 0.002053 6e-04 0.0019 0.003329 0.002053
rs13261666 -0.0268945748386775 0.00355604025615263 0.000662 0.001996 -0.0053 0.0017 0.000662 0.001996
rs1343432 0.0234447333974563 0.00417724570940657 -0.001805 0.002316 0.0153 0.0022 -0.001805 0.002316
rs134529 -0.0199839528321729 0.00366077691353738 0.005667 0.002064 -0.0047 0.0017 -0.005667 0.002064
rs1355334 0.0244176044443055 0.00377221156810223 0.000977 0.002133 0.0136 0.0018 0.000977 0.002133
rs1385108 0.0246616993390394 0.00415672857562255 -0.002585 0.002337 -5e-04 0.0022 -0.002585 0.002337
rs1435741 0.0294151238128526 0.00359095051725429 -0.004633 0.002021 -0.0067 0.0017 -0.004633 0.002021
rs1445649 0.0239932341418356 0.00356483711793006 -0.002032 0.002012 0.0053 0.0017 0.002032 0.002012
rs1518393 0.0205357436417922 0.00365893889953371 0.00419 0.002074 -0.0029 0.002 -0.00419 0.002074
rs1555445 0.0225547968430225 0.00382339614270885 -0.002867 0.002169 0.0035 0.0018 0.002867 0.002169
rs1565735 -0.0376180342371462 0.00446129865085708 0.000378 0.002512 0.0013 0.0021 0.000378 0.002512
rs17234745 -0.0285620257898205 0.00504910053010178 -0.000587 0.002818 -0.0055 0.0024 0.000587 0.002818
rs17534089 -0.0322634074908758 0.00518626556041132 -0.000412 0.002921 -0.006 0.0025 0.000412 0.002921
rs1899896 0.0264481246881374 0.00388690913511059 0.001219 0.00219 0.0094 0.0019 0.001219 0.00219
rs1971318 0.0285074215505192 0.00492533227444622 -0.003357 0.002747 0.0089 0.0026 -0.003357 0.002747
rs2046850 -0.0248138529358474 0.00447842201706439 0.002539 0.002535 0.0022 0.002 0.002539 0.002535
rs2050586 -0.0205466601064923 0.00370827598744739 -0.002394 0.002086 -0.0044 0.002 -0.002394 0.002086
rs2107300 -0.0272010365504313 0.00492533227444622 0.002039 0.002769 -0.0025 0.0023 -0.002039 0.002769
rs2186122 0.0260572863256767 0.00358601600776158 0.002628 0.002026 0.0124 0.0017 -0.002628 0.002026
rs222449 -0.0253208232805482 0.00442796261888848 0.001586 0.002508 -0.006 0.0021 -0.001586 0.002508
rs2276825 0.0232182222507148 0.00415672857562255 0.006478 0.002396 0.0153 0.002 -0.006478 0.002396
rs2344508 -0.0219720098837396 0.00358323971714277 -0.000287 0.002013 -0.0193 0.0016 -0.000287 0.002013
rs2378662 0.0209481549927184 0.0035664507489796 0.001536 0.002021 0.0065 0.0017 0.001536 0.002021
rs240963 -0.0410443522424762 0.0048371233000107 -0.001862 0.002728 -0.0115 0.0026 0.001862 0.002728
rs2631024 -0.0229644553809509 0.00402823195017628 -0.0018 0.002282 -0.0052 0.0022 0.0018 0.002282
rs266047 -0.0305098439360886 0.0037385472299354 0.001236 0.002009 -0.0102 0.0019 0.001236 0.002009
rs27003 0.0242168129229232 0.00383380958622819 0.003413 0.002183 0.0045 0.0018 -0.003413 0.002183
rs28372104 0.0237124469252186 0.00389830226103797 -0.001931 0.002207 -3e-04 0.0021 0.001931 0.002207
rs292071 0.0235821988549303 0.00400909407996469 -0.001374 0.002252 0.0074 0.0019 0.001374 0.002252
rs3001723 0.0335117979569998 0.00389830226103797 -0.000672 0.002174 0.001 0.0018 -0.000672 0.002174
rs301805 0.021467915176492 0.00361328749427589 -0.000845 0.002032 0.0079 0.0018 0.000845 0.002032
rs35702515 0.0252441728437111 0.00423093298129663 -0.00448 0.002416 0.0011 0.0023 -0.00448 0.002416
rs3800227 0.0228121191646138 0.00405809388433384 0.002144 0.002293 0.0149 0.0019 -0.002144 0.002293
rs3904512 -0.0211588854183522 0.0035765044073267 -0.001092 0.00202 0.0029 0.0017 -0.001092 0.00202
