SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10226228 -0.0114099 0.00143702 -0.003544 0.001888 0.000649639135211335 0.00200482989659171 0.003544 0.001888
rs10228494 -0.00834755 0.00141017 -0.002361 0.001849 -0.00471535955178249 0.00194956123499343 0.002361 0.001849
rs10282292 0.00896219 0.0014469 0.003051 0.001893 0.000362960083058805 0.00201334029294645 -0.003051 0.001893
rs10458563 -0.00971347 0.00170587 -0.004836 0.002236 -0.00684965690096582 0.00239785953521186 0.004836 0.002236
rs1050847 0.00797046 0.00140503 0.001293 0.00188 0.0034116220690947 0.00195029452630233 -0.001293 0.00188
rs10759934 0.0081033 0.00139392 0.000249 0.00183 0.000786223361403496 0.00192970934514154 -0.000249 0.00183
rs10819050 -0.0111702 0.00140848 0.000658 0.00185 -0.00443226156520249 0.00203366107937443 -0.000658 0.00185
rs10823968 0.00813544 0.00145258 -0.00155 0.0019 0.00421003293524031 0.00199574701262055 0.00155 0.0019
rs10879871 -0.00957988 0.00145803 -0.003529 0.001909 -0.00955263473075138 0.00203201558651829 0.003529 0.001909
rs10918701 0.00802389 0.00143191 0.0053 0.001865 0.0030762502795602 0.00199823928641645 -0.0053 0.001865
rs10922907 0.0101748 0.00139495 0.003948 0.001817 0.00648992556107398 0.00193923617576155 -0.003948 0.001817
rs10945143 -0.00883899 0.00159048 -0.002878 0.002061 0.000224320488266448 0.00221029544781041 0.002878 0.002061
rs11023819 0.00849017 0.00140527 0.004581 0.00184 0.002055842697862 0.00195131953468511 -0.004581 0.00184
rs11023894 0.00758653 0.00138895 0.003568 0.001822 0.00308085148587009 0.00192930403767763 -0.003568 0.001822
rs11123962 -0.00890367 0.00139223 -0.004991 0.001827 -0.00322028023056633 0.00194190204447049 0.004991 0.001827
rs11134664 -0.00928494 0.00149314 -0.002235 0.001962 -0.00247283621778652 0.00206788952918013 0.002235 0.001962
rs11210229 0.011702 0.00142273 0.003775 0.001853 0.00474927448815654 0.00198403788051499 -0.003775 0.001853
rs112282219 -0.0231662 0.00350418 0.00805 0.00462 -0.0166141327547057 0.00483656103479568 -0.00805 0.00462
rs11255908 -0.0100713 0.00158809 -0.004875 0.002085 -5.86920473282668e-05 0.00224908414043452 0.004875 0.002085
rs113382419 -0.0282339 0.00221376 0.000983 0.002932 0.00443521672298289 0.00312060759663749 -0.000983 0.002932
rs116948922 0.0244586 0.00394568 0.013349 0.00526 0.0170560445551908 0.00554833170854138 -0.013349 0.00526
rs11768481 0.00901238 0.00147464 0.004711 0.001936 0.00124621220972287 0.00203777486362433 -0.004711 0.001936
rs11783093 0.01571 0.00189655 0.00269 0.002488 -0.00338522054810175 0.00265150936981465 -0.00269 0.002488
rs11786713 0.00796712 0.00145396 -0.00783 0.001907 -0.003506225836582 0.00201427411333919 0.00783 0.001907
rs11801576 -0.0102544 0.00161776 -0.004868 0.002134 0.00262629034197248 0.00224379126505176 0.004868 0.002134
rs11861214 0.00945079 0.00168455 0.012011 0.002313 -0.00707945484650743 0.0022684036513902 -0.012011 0.002313
rs11921010 0.00809898 0.00141715 0.001713 0.001853 0.0127345487564724 0.00197678534239379 -0.001713 0.001853
rs11948770 -0.0102364 0.00164524 -0.000473 0.002155 -0.00376070702968423 0.00228869341369589 0.000473 0.002155
rs12151765 0.0126888 0.00212356 -0.004096 0.002774 0.00585615671828406 0.00295780580513559 0.004096 0.002774
rs12202536 -0.00823391 0.00138601 -0.001582 0.001795 -0.00599386417932378 0.00193049366442899 0.001582 0.001795
rs1221148 0.00916504 0.00140711 0.00052 0.001843 0.000818980992795856 0.00195773902618138 -0.00052 0.001843
rs12244388 -0.0132503 0.00146413 0.017416 0.001914 -0.00477749585246772 0.00203343727254299 -0.017416 0.001914
rs12442096 0.00849543 0.0014248 6e-04 0.001872 0.00321945601195066 0.001977696107003 -6e-04 0.001872
rs1246265 -0.00886526 0.00150907 -0.000759 0.001976 -0.00550834047470394 0.00208943263736374 0.000759 0.001976
rs12481282 -0.00894356 0.00154935 -0.005911 0.002037 -0.00633514897189385 0.00216278419844757 0.005911 0.002037
rs12623702 -0.00977238 0.00142787 -0.001103 0.001873 -0.00667747059633099 0.001977696107003 0.001103 0.001873
rs12708665 -0.0090871 0.00153886 0.002987 0.002009 -0.00477144651414074 0.00212748284784015 -0.002987 0.002009
rs12831617 -0.00918459 0.00163314 -0.000635 0.002155 -0.00259088922728773 0.00231736177375491 0.000635 0.002155
rs12967855 0.0081887 0.00147934 0.003856 0.001944 0.00346187393694691 0.00205787045193087 -0.003856 0.001944
rs13009008 0.00863272 0.00147329 0.005846 0.00193 0.000778190724669095 0.00205787045193087 -0.005846 0.00193
rs13016665 -0.00848745 0.0014118 -0.001885 0.00185 -0.007862027174789 0.00194733530844186 0.001885 0.00185
rs13106038 0.00888362 0.00148411 -0.000695 0.001943 -0.00239677942801759 0.00206281929094326 0.000695 0.001943
rs13153393 -0.0137451 0.00217329 -0.002455 0.002857 -0.00144442074421291 0.0030587310056019 0.002455 0.002857
rs13178466 0.00770147 0.00141073 -0.001146 0.001846 -0.000885509663655136 0.00196055134855648 0.001146 0.001846
rs13268671 0.00778402 0.00140191 -0.009547 0.001841 0.0016711401149822 0.00196130237409249 0.009547 0.001841
rs136233 -0.00995614 0.00176918 0.001983 0.002315 -0.000813883375891521 0.00245395070994542 -0.001983 0.002315
rs1363374 0.00826725 0.0014241 -0.002605 0.001865 0.00341056484798888 0.00197238057803114 0.002605 0.001865
rs147412694 -0.0115726 0.00194865 0.001707 0.002569 -0.00852503576435833 0.00277172820634542 -0.001707 0.002569
rs17309874 -0.0112899 0.00158234 0.00389 0.002105 -0.00246180018588556 0.00220190102506469 -0.00389 0.002105
rs17314832 0.00852358 0.0014456 0.004221 0.001892 -0.00130398440508859 0.00201209162003495 -0.004221 0.001892
rs17553262 -0.0127323 0.00218148 -0.003571 0.002875 -0.00139499596983042 0.0030587310056019 0.003571 0.002875
rs17576594 0.0109502 0.00155159 0.000679 0.002035 0.00161563841653599 0.00214372959399269 -0.000679 0.002035
rs17733784 0.00841894 0.00143622 0.003406 0.001886 0.00196333842268902 0.00198937056331901 -0.003406 0.001886
rs1922018 0.0100328 0.00143771 0.003706 0.001893 0.00397759389464976 0.00200134468660986 -0.003706 0.001893
rs1931262 -0.00764277 0.00138589 0.001175 0.001809 0.0028869763058352 0.00193326232685034 -0.001175 0.001809
rs202645 -0.0101598 0.00172497 0.010606 0.002269 -0.0108795939065524 0.00242067787301932 -0.010606 0.002269
rs2062882 -0.0081103 0.00141998 -0.001294 0.001854 0.000108511805295897 0.00195842886312308 0.001294 0.001854
rs2080870 0.00863309 0.00158257 0.001186 0.002075 0.00548135445803866 0.00221029544781041 -0.001186 0.002075
rs2244524 0.00893847 0.00139794 -0.014729 0.001832 0.00227477427389252 0.001936416456653 0.014729 0.001832
rs2254710 0.00899636 0.00163085 -0.003981 0.002127 0.0015297000689941 0.00225541970502771 0.003981 0.002127
rs2401924 0.0105718 0.00138906 0.004217 0.001816 0.00263862665747756 0.00192955491218008 -0.004217 0.001816
rs2675638 0.00849857 0.00140017 0.003426 0.001841 0.00175680604879616 0.00195442107767743 -0.003426 0.001841
rs2838834 -0.00936489 0.00151488 -0.002997 0.001998 -0.000734333900159042 0.00211106153416114 0.002997 0.001998
rs28635466 0.00844234 0.00150481 0.006192 0.001975 -0.00663870194737396 0.00211312211203986 -0.006192 0.001975
rs2867112 0.0147832 0.00188747 -0.001277 0.002468 0.00721958654600011 0.00260514389735685 0.001277 0.002468
rs2880449 -0.00772692 0.00139172 -0.000855 0.001824 -0.00089455464240775 0.00192924615745676 0.000855 0.001824
rs2890772 -0.0136979 0.00140672 0.001953 0.001849 -0.00293327629076417 0.00196426709000547 -0.001953 0.001849
rs2894808 -0.0152983 0.0025912 -0.001663 0.00335 0.000405701290083912 0.00357200068551855 0.001663 0.00335
rs3025383 0.0126539 0.00180169 -0.004031 0.002476 -4.11003239185116e-05 0.00247394877851573 0.004031 0.002476
rs317021 -0.011567 0.00179087 -0.00013 0.002352 -0.00597396244303185 0.00250002547345183 0.00013 0.002352
rs326341 0.00943522 0.00139247 -0.000508 0.001819 0.00103179245058687 0.00193272433943353 0.000508 0.001819
rs329120 0.00965704 0.00140509 0.006134 0.001844 -8.94206947274051e-05 0.00195131953468511 -0.006134 0.001844
rs348829 -0.00836241 0.00146235 -0.001482 0.001917 -0.00104931302737467 0.00204222270976527 0.001482 0.001917
rs35120974 -0.00844791 0.00140937 0.001019 0.001845 -0.0028040434027352 0.00195842886312308 -0.001019 0.001845
rs35169606 0.00877627 0.00144385 -0.008269 0.0019 -0.00385894111308884 0.00198745578762611 0.008269 0.0019
rs35175834 -0.0164032 0.00169847 -0.004529 0.002229 -0.00898700633582041 0.00235200705431911 0.004529 0.002229
rs35264168 0.0165979 0.00267566 0.009494 0.003676 0.00631903220932123 0.00354353730379807 -0.009494 0.003676
rs35343344 0.00918144 0.00159594 -0.001907 0.00219 0.000402813031093021 0.00219101404489371 0.001907 0.00219
rs35891966 0.0155949 0.00269184 0.00204 0.003631 0.0161075373357679 0.0037756649878099 -0.00204 0.003631
rs359243 -0.00871975 0.00142539 0.000584 0.00186 -0.00319866377262185 0.00197238057803114 -0.000584 0.00186
rs369230 -0.00908882 0.001511 -0.011672 0.002078 -0.00454828831229681 0.00209130519407181 0.011672 0.002078
rs3742365 -0.0107929 0.0014159 -0.000211 0.001875 -0.00570888147226042 0.00196275388095419 0.000211 0.001875
