SNP beta.exposure.x se.exposure.x beta.outcome.x se.outcome.x beta.exposure.y se.exposure.y beta.outcome.y se.outcome.y
rs10001365 -0.0249917522361988 0.00364154979674843 -0.004941 0.001969 -0.006 0.0018 -0.004941 0.001969
rs1004787 0.0299231195831601 0.00357139850186026 -0.003047 0.001937 2e-04 0.0019 -0.003047 0.001937
rs10159545 0.0262501152217945 0.0037272658976418 -0.002516 0.002026 0.0176 0.002 0.002516 0.002026
rs10233018 0.0270690382961853 0.00355740691271967 0.002422 0.001918 0.0029 0.0019 -0.002422 0.001918
rs10279261 -0.0214193598061592 0.00366263324610703 0.00046 0.001977 -0.0021 0.0017 0.00046 0.001977
rs1029984 0.0208269529381039 0.00358234481029148 -0.002219 0.001952 0.0051 0.0019 -0.002219 0.001952
rs10490159 0.0216491746167544 0.00363351675217803 0.000487 0.001964 9e-04 0.0017 0.000487 0.001964
rs10498846 0.0206102939104822 0.0035556134988868 0.001714 0.001923 -6e-04 0.0017 0.001714 0.001923
rs1050847 -0.0216231194546871 0.00358893039059423 -0.00063 0.001985 0.0016 0.0017 -0.00063 0.001985
rs10905461 -0.0239553893082787 0.00414505215800124 0.000319 0.002196 0.001 0.0019 -0.000319 0.002196
rs10945141 0.0222362623959129 0.00405301809262339 -0.000791 0.002182 -0.0043 0.0019 -0.000791 0.002182
rs10956809 -0.0207810646080611 0.00357975119008573 -0.001609 0.001942 -0.0035 0.0019 -0.001609 0.001942
rs11012840 -0.0229683403087224 0.00381746732931954 0.004779 0.002073 -0.0163 0.002 0.004779 0.002073
rs11057005 -0.0209297802537554 0.00357891690904206 0.00273 0.001953 -0.0032 0.0017 -0.00273 0.001953
rs11078713 -0.0201720919993512 0.00360561018144231 0.010914 0.001952 0.0083 0.0017 -0.010914 0.001952
rs11135030 0.0226893782007283 0.00386850687475036 -0.006505 0.002081 0.002 0.0018 -0.006505 0.002081
rs1154693 0.0326216682994671 0.00491232251908705 -0.00078 0.002722 0.0085 0.0027 0.00078 0.002722
rs11594623 0.0270090747742326 0.0041626381416524 -0.003521 0.002234 0.0056 0.0022 0.003521 0.002234
rs1160685 0.020772436428493 0.00358893039059423 0.001082 0.001932 6e-04 0.0017 -0.001082 0.001932
rs11658881 0.0201357214327675 0.00361066336779864 0.005215 0.001946 -0.004 0.0017 -0.005215 0.001946
rs11678980 0.0203418465799605 0.00356819593409352 -0.004094 0.001992 0.0084 0.002 -0.004094 0.001992
rs11712680 -0.0270476240432524 0.00457842819835389 0.00448 0.002472 -0.0072 0.0022 -0.00448 0.002472
rs117143374 0.0292896903222678 0.00526908907209351 -0.000827 0.00278 -0.0146 0.0028 0.000827 0.00278
rs11716779 0.0219898669573908 0.00402823195017628 -0.006239 0.002237 0.0123 0.0019 0.006239 0.002237
rs11721059 0.0199356867182187 0.00356335451016015 0.004792 0.001939 0.003 0.0017 0.004792 0.001939
rs11768481 -0.0232016673678623 0.00376380745301786 -0.000886 0.002046 -0.0062 0.002 -0.000886 0.002046
rs117695734 -0.0551772756302046 0.00881286708017 0.013848 0.005268 -0.0028 0.0053 -0.013848 0.005268
rs11872397 -0.0247725406457757 0.00409477465918092 0.002008 0.002227 0.0026 0.0022 0.002008 0.002227
rs11873164 -0.0281424962795397 0.0049517801685124 -0.004848 0.002627 -0.0023 0.0026 -0.004848 0.002627
rs12027999 -0.0330855002964445 0.00533914965204459 0.000422 0.002907 0.0023 0.0029 -0.000422 0.002907
rs12042107 -0.0222833764663073 0.00356819593409352 0.000192 0.001926 -0.0107 0.0019 -0.000192 0.001926
rs12112638 -0.0245259680994854 0.00404298611398216 0.005085 0.002176 0.0135 0.0021 -0.005085 0.002176
rs12186738 -0.0332644351638424 0.00502051065741958 -0.006616 0.002739 -0.0085 0.0027 -0.006616 0.002739
rs12333760 -0.0290466837454973 0.0048012687206787 -0.013969 0.002591 -0.0175 0.0024 0.013969 0.002591
rs12356821 0.0393700355945343 0.00504910053010178 0.011671 0.002732 0.0101 0.0024 0.011671 0.002732
rs12441907 -0.0292050638015571 0.00452262034266214 0.003666 0.002458 -0.0049 0.0022 0.003666 0.002458
rs12474587 0.0276328620164367 0.00358234481029148 -0.008202 0.001939 -0.0033 0.0017 -0.008202 0.001939
rs12545053 0.0202807978238853 0.00363667793165178 -0.001414 0.001961 -0.0036 0.0017 0.001414 0.001961
rs12632110 -0.0233768243046966 0.00375292296589672 0.000451 0.002133 -0.0172 0.0018 -0.000451 0.002133
rs12662631 0.0209986399155672 0.00383380958622819 0.000542 0.002075 0.0056 0.0018 0.000542 0.002075
rs12923427 -0.0239086627298819 0.00437239804530611 0.001499 0.002332 -0.0065 0.002 0.001499 0.002332
rs13030994 0.036092466377408 0.00355629638428205 -0.00041 0.001919 0.0013 0.0019 -0.00041 0.001919
rs13136052 -0.0198097007760779 0.00358697207728253 -0.000998 0.002043 6e-04 0.0019 -0.000998 0.002043
rs13261666 -0.0268945748386775 0.00355604025615263 0.000202 0.001918 -0.0053 0.0017 0.000202 0.001918
rs1343432 0.0234447333974563 0.00417724570940657 -0.001345 0.002218 0.0153 0.0022 -0.001345 0.002218
rs134529 -0.0199839528321729 0.00366077691353738 0.000487 0.001989 -0.0047 0.0017 -0.000487 0.001989
rs1355334 0.0244176044443055 0.00377221156810223 0.001863 0.002048 0.0136 0.0018 0.001863 0.002048
rs1385108 0.0246616993390394 0.00415672857562255 0.00248 0.002247 -5e-04 0.0022 0.00248 0.002247
rs1435741 0.0294151238128526 0.00359095051725429 0.005612 0.001942 -0.0067 0.0017 0.005612 0.001942
rs1445649 0.0239932341418356 0.00356483711793006 -0.002573 0.001924 0.0053 0.0017 0.002573 0.001924
rs1518393 0.0205357436417922 0.00365893889953371 0.002626 0.001991 -0.0029 0.002 -0.002626 0.001991
rs1555445 0.0225547968430225 0.00382339614270885 0.007088 0.002105 0.0035 0.0018 -0.007088 0.002105
rs1565735 -0.0376180342371462 0.00446129865085708 -0.00203 0.002427 0.0013 0.0021 -0.00203 0.002427
rs17234745 -0.0285620257898205 0.00504910053010178 -0.007445 0.002706 -0.0055 0.0024 0.007445 0.002706
rs17534089 -0.0322634074908758 0.00518626556041132 -0.00498 0.00281 -0.006 0.0025 0.00498 0.00281
rs1899896 0.0264481246881374 0.00388690913511059 0.001645 0.002104 0.0094 0.0019 0.001645 0.002104
rs1971318 0.0285074215505192 0.00492533227444622 0.000488 0.002647 0.0089 0.0026 0.000488 0.002647
rs2046850 -0.0248138529358474 0.00447842201706439 -0.007886 0.002431 0.0022 0.002 -0.007886 0.002431
rs2050586 -0.0205466601064923 0.00370827598744739 -0.003528 0.002003 -0.0044 0.002 -0.003528 0.002003
rs2107300 -0.0272010365504313 0.00492533227444622 -0.00438 0.00266 -0.0025 0.0023 0.00438 0.00266
rs2186122 0.0260572863256767 0.00358601600776158 -0.013609 0.001936 0.0124 0.0017 0.013609 0.001936
rs222449 -0.0253208232805482 0.00442796261888848 -0.002763 0.002409 -0.006 0.0021 0.002763 0.002409
rs2276825 0.0232182222507148 0.00415672857562255 0.005676 0.002301 0.0153 0.002 -0.005676 0.002301
rs2344508 -0.0219720098837396 0.00358323971714277 0.004279 0.001933 -0.0193 0.0016 0.004279 0.001933
rs2378662 0.0209481549927184 0.0035664507489796 -8.5e-05 0.001938 0.0065 0.0017 -8.5e-05 0.001938
rs240963 -0.0410443522424762 0.0048371233000107 0.003647 0.002626 -0.0115 0.0026 -0.003647 0.002626
rs2631024 -0.0229644553809509 0.00402823195017628 0.005959 0.002196 -0.0052 0.0022 -0.005959 0.002196
rs266047 -0.0305098439360886 0.0037385472299354 -0.000445 0.001922 -0.0102 0.0019 -0.000445 0.001922
rs27003 0.0242168129229232 0.00383380958622819 0.002337 0.002094 0.0045 0.0018 -0.002337 0.002094
rs28372104 0.0237124469252186 0.00389830226103797 -0.009392 0.002109 -3e-04 0.0021 0.009392 0.002109
rs292071 0.0235821988549303 0.00400909407996469 0.000354 0.002156 0.0074 0.0019 -0.000354 0.002156
rs3001723 0.0335117979569998 0.00389830226103797 -0.007593 0.00209 0.001 0.0018 -0.007593 0.00209
rs301805 0.021467915176492 0.00361328749427589 -0.013181 0.001945 0.0079 0.0018 0.013181 0.001945
rs35702515 0.0252441728437111 0.00423093298129663 0.000761 0.002319 0.0011 0.0023 0.000761 0.002319
rs3800227 0.0228121191646138 0.00405809388433384 -0.001379 0.002202 0.0149 0.0019 0.001379 0.002202
rs3904512 -0.0211588854183522 0.0035765044073267 0.001749 0.001941 0.0029 0.0017 0.001749 0.001941
rs4044321 -0.0278416954894971 0.00371057728611977 -0.001575 0.002007 -0.0031 0.0019 0.001575 0.002007
rs4236259 -0.0247689190675964 0.00355660950494466 0.004111 0.002018 0.001 0.0019 -0.004111 0.002018
rs4275621 -0.0217330128147681 0.0036683129404749 0.001169 0.001984 -0.0079 0.0019 -0.001169 0.001984
rs4523689 -0.0206091006590057 0.00364320870753476 -0.002387 0.001966 0.0025 0.0019 0.002387 0.001966
rs4543592 0.0219314324929169 0.00356243865360826 -0.002264 0.001929 -0.003 0.0017 0.002264 0.001929
rs4549681 -0.0236966327871474 0.00373743468785647 0.00332 0.001924 0.0036 0.0019 -0.00332 0.001924
rs4571506 -0.0275746638599439 0.00356880699487212 -0.008258 0.001931 -0.0068 0.0019 -0.008258 0.001931
rs4674993 -0.0252122101883179 0.00443618509086005 -9.4e-05 0.002399 -0.0016 0.0021 9.4e-05 0.002399
rs4759228 -0.0216913082292544 0.00393413223853498 0.001581 0.002127 -0.015 0.0019 0.001581 0.002127
rs4785836 -0.020470446994321 0.00365893889953371 0.002514 0.001986 -0.002 0.002 -0.002514 0.001986
rs56820925 -0.0218638186698424 0.00387714869146327 -0.002475 0.001998 0.0088 0.002 -0.002475 0.001998
rs585282 0.0208986579175872 0.00370599506984915 -0.005947 0.002011 -0.0095 0.0018 -0.005947 0.002011
